offset_right,time_offsets,logdir,algorithm,learning_rate,steps,temperature,num_hidden_units,offset_left,output_dimension,max_iterations,batch_size
offset_right,time_offsets,logdir,algorithm,learning_rate,steps,temperature,num_hidden_units,offset_left,output_dimension,max_iterations,batch_size,animal,seed,repeat,all,train,valid,test,knn,valid_total_r2,valid_position_error,valid_position_r2,test_total_r2,test_position_error,test_position_r2,all_run_consistency,train_run_consistency,valid_run_consistency,test_run_consistency
5,10,/logs,cebra-time,0.0028521675677231,-1,3.212991682008965,64,5,3,1000,20000,0,0,2,[0.81229087 0.75938432 0.95506036],[0.74792175 0.71715838 0.94076809],[0.6476404  0.76433429 0.95435461],[0.81845059 0.84612311 0.96094119],25,0.8213040872621554,0.06560283899307251,0.966991058934379,0.8322713072012785,0.04549206793308258,0.9703730679970441,"[0.993961469307154, 0.9961705093186121, 0.9964717165627036, 0.9944021184604558, 0.9965059927635483, 0.996232448617202, 0.9944405037334212, 0.9964726215868652, 0.9947758653083564]","[0.9938997390165641, 0.9960624173087744, 0.9966846304331805, 0.9938713795333957, 0.9964360805098563, 0.9960256595088874, 0.9938387554611978, 0.9963176473840177, 0.994624697097635]","[0.99504463657077, 0.9969715225395875, 0.9951914784592769, 0.9965129123848243, 0.9966780967890831, 0.9971592469226985, 0.9956132295192676, 0.9971866197163042, 0.9951807145605343]","[0.993882902618009, 0.9962797733045692, 0.9974152810389129, 0.9953139030045769, 0.9967551583133437, 0.9967174890611293, 0.9968901888910788, 0.9965944479541574, 0.9960873570673136]"
5,10,/logs,cebra-time,0.0028521675677231,-1,3.212991682008965,64,5,3,1000,20000,1,0,2,[0.73538063 0.70851243 0.77111533],[0.69338487 0.68065064 0.73006154],[0.59913623 0.58971847 0.65127357],[0.74405692 0.70670719 0.82130671],25,0.005710675842997966,0.13151894509792328,0.8008022802110193,0.005599373621053709,0.11557836830615997,0.8455920600064152,"[0.6262996591484201, 0.6323278451676909, 0.5663561066796285, 0.9706444624364675, 0.9602700757901816, 0.5234715148809271, 0.8587559995074834, 0.4383419361030234, 0.6332986885747309]","[0.6325477686208744, 0.6816913793460149, 0.6145254956114142, 0.9689494377495369, 0.9527376317919515, 0.5513954741886691, 0.9060152940583786, 0.40420489662926373, 0.655504407602086]","[0.6404014051923275, 0.4291750368224312, 0.5284806202158197, 0.946772673526246, 0.969578997617598, 0.4363697301576221, 0.6791848182228355, 0.5439440118165205, 0.44568095813927827]","[0.6035642517526808, 0.5380959075417789, 0.493177927355066, 0.9767902736833699, 0.9733626305843256, 0.4687549465054959, 0.81573616869904, 0.5242111885143692, 0.5923534808497218]"
5,10,/logs,cebra-time,0.0028521675677231,-1,3.212991682008965,64,5,3,1000,20000,2,0,2,[0.74830542 0.82646253 0.78517268],[0.68713875 0.76005367 0.70736284],[0.79527632 0.72268829 0.87802191],[0.88710442 0.84047835 0.90345739],25,0.10854190969379536,0.15092667937278748,0.6394058107871874,0.3371196568219146,0.1534586101770401,0.6908134897783806,"[0.8470280366057161, 0.8451992368891466, 0.8071687751772304, 0.8425869439669041, 0.8561505251602547, 0.8601961813549348, 0.834987301315017, 0.8004322750260696, 0.8557599530804435]","[0.8462637945448531, 0.8457166593516189, 0.8164717736509983, 0.8450227510073519, 0.859667582479536, 0.8618468328432423, 0.8380138862102126, 0.8053497238079448, 0.8585391640669009]","[0.8218100277791245, 0.8204996090923132, 0.7363770836030512, 0.8228203059352138, 0.8184442506978956, 0.8601288455502335, 0.7946150253455979, 0.7518952647432497, 0.8353072116956491]","[0.8307092948239495, 0.8236316331130284, 0.7732251244125088, 0.8135859527700694, 0.8207836194882399, 0.8405617894099398, 0.8129149060493764, 0.7738377321968036, 0.8323061672376447]"
5,10,/logs,cebra-time,0.0028521675677231,-1,3.212991682008965,64,5,3,1000,20000,3,0,2,[0.94369218 0.76456804 0.71236344],[0.92626987 0.69670029 0.64141713],[0.94162468 0.62842087 0.81894616],[0.94856103 0.80896366 0.83887202],25,0.6548550384926471,0.07819420099258423,0.7680910208203108,0.8893365532266534,0.07289958745241165,0.953679696425977,"[0.9460104005724957, 0.8741127411487758, 0.8828083951022029, 0.9354855974239752, 0.8955643580710487, 0.9234845145096862, 0.9268525105198925, 0.8912232876215679, 0.8935196813694096]","[0.9439694067828687, 0.8559102499556112, 0.8633659735314656, 0.9294897332879256, 0.8752465867711479, 0.9192298466727928, 0.9232242039150238, 0.8700328813786585, 0.8748723450731442]","[0.9624074633378473, 0.9383675727089478, 0.9444093556087386, 0.9567464730130415, 0.9534774094052428, 0.9416453351168378, 0.9501477153009596, 0.9602499879235937, 0.9463226671880921]","[0.9443216056491001, 0.9502731975679727, 0.9553568834996465, 0.953302968664397, 0.9705362558022846, 0.9362920503924811, 0.9238646259922562, 0.9648255993374654, 0.967890546683285]"
5,10,/logs,cebra-time,0.0028521675677231,-1,3.212991682008965,64,5,3,1000,20000,0,0,1,[0.86189097 0.75449302 0.93910525],[0.81206444 0.72841249 0.9116352 ],[0.59351514 0.77852464 0.90665266],[0.73986072 0.736952   0.94458232],16,0.8377421150975993,0.06127409636974335,0.9337188702285566,0.79130064452632,0.051215529441833496,0.9762561081796273,"[0.9954915682142884, 0.9958998820654331, 0.9961086950887793, 0.9955189079932802, 0.9933295759086999, 0.9965832953984894, 0.5527681292775863, 0.9958391253376976, 0.9964744883403819]","[0.995379768896866, 0.9959389481839152, 0.9961734394712574, 0.9957692575474972, 0.9933476097047801, 0.99647956035614, 0.5510505921101685, 0.9960849896545799, 0.9964152298157684]","[0.9950241880103553, 0.9952705014500868, 0.9948407345560438, 0.9948464226960404, 0.9913760804920789, 0.9962849705286897, 0.5816919649120523, 0.9953498505452942, 0.9963395187598701]","[0.9967427218804116, 0.996668759814178, 0.9978935459169472, 0.9962980526802885, 0.9957089749156623, 0.9975294040396824, 0.5528087109206753, 0.9963414919441598, 0.997001764935182]"
5,10,/logs,cebra-time,0.0028521675677231,-1,3.212991682008965,64,5,3,1000,20000,1,0,1,[0.84839122 0.78631171 0.90525542],[0.86971505 0.76554743 0.88543253],[0.65510177 0.66005404 0.80816582],[0.81831787 0.71068101 0.88092697],16,0.3279031533032271,0.10438977181911469,0.6346225005714556,0.3533270876757988,0.10257381200790405,0.8037343929848325,"[0.9491662690929011, 0.9659863509784721, 0.9567018428066287, 0.968036480573709, 0.7526929998168913, 0.8974553050520943, 0.8936799803963623, 0.9504110891036057, 0.9649054183983518]","[0.9411159763303477, 0.9640738044383591, 0.9553607842789962, 0.97143552487612, 0.7457958168550882, 0.8971320510590827, 0.8885420253528653, 0.943780004126178, 0.9657380423143577]","[0.954684825092447, 0.9649847612206841, 0.942865975994876, 0.9494569360533746, 0.766936843479122, 0.8928190366913084, 0.8958308795422956, 0.9675586120668612, 0.9640696226551132]","[0.9707962862483098, 0.9727604031111351, 0.9686340072534968, 0.9712539771854362, 0.8007179589669762, 0.9100701345845232, 0.913097249294759, 0.9622486984179535, 0.9651266983673003]"
5,10,/logs,cebra-time,0.0028521675677231,-1,3.212991682008965,64,5,3,1000,20000,2,0,1,[0.65224827 0.82638572 0.78903983],[0.62843072 0.78131694 0.76210101],[0.70346177 0.55871571 0.81965248],[0.74774084 0.70014886 0.84132062],25,0.15363799814273102,0.1290484368801117,0.8026859033604659,0.08355963985710572,0.16088852286338806,0.7139710641069963,"[0.8748465988625614, 0.7977789090043087, 0.7891338604538435, 0.5513451101608622, 0.8505966720252537, 0.7840219486166794, 0.6103541365411286, 0.6213644320488262, 0.7052054584036371]","[0.8784423547667402, 0.7962018191675551, 0.7895550339913292, 0.5551695658129913, 0.849541067417538, 0.7865916050102543, 0.610830624504441, 0.6314808448384256, 0.7141815116699036]","[0.843017184733951, 0.8086955245752705, 0.8332278816197536, 0.5949356230598064, 0.8464250888793067, 0.8358556720054185, 0.5656889189290877, 0.6278671210105475, 0.7226576070523402]","[0.844640844032412, 0.7825941356221602, 0.7409987871814128, 0.5387478427688938, 0.8332260988247312, 0.7181628510022371, 0.5811789146660705, 0.5568459192739798, 0.6114080091718047]"
5,10,/logs,cebra-time,0.0028521675677231,-1,3.212991682008965,64,5,3,1000,20000,3,0,1,[0.88121515 0.84958007 0.73525804],[0.8190751  0.7744033  0.69557616],[0.83458163 0.60964267 0.75162354],[0.89033963 0.71926761 0.6927239 ],16,0.5132984658437691,0.09474396705627441,0.881888218853702,0.501824303638274,0.07439376413822174,0.8862979268774058,"[0.9187279870763024, 0.9211784290173366, 0.9327066091242721, 0.8751111352172365, 0.9179337504281446, 0.7372847104318487, 0.9261445795505455, 0.6933859455397373, 0.8675195534089202]","[0.9004023357827492, 0.9099003038297998, 0.9207765115797385, 0.8722550872924497, 0.9115022881668368, 0.7386747430178436, 0.9147433972663978, 0.6925617450542462, 0.865614778712203]","[0.9574204446493192, 0.9391592073632801, 0.962891348460719, 0.9095594175474915, 0.9275347898238681, 0.800166737910336, 0.9415503092853031, 0.728002964473096, 0.92596345107164]","[0.9567064447176742, 0.9359996528890896, 0.9558157516186219, 0.8881847197481746, 0.9325918144952022, 0.7116356336739447, 0.9428206106111197, 0.6896138536834723, 0.8747396723227067]"
5,10,/logs,cebra-time,0.0028521675677231,-1,3.212991682008965,64,5,3,1000,20000,0,1,2,[0.86834744 0.81146802 0.79709296],[0.8362109  0.77089676 0.7948737 ],[0.79616372 0.78666607 0.65854034],[0.74078049 0.84614343 0.8713942 ],25,0.8346608465317292,0.06534695625305176,0.9697962406579651,0.8279353529982849,0.04623468592762947,0.9726413068791333,"[0.9942945683337626, 0.9946967886607867, 0.9936779571417546, 0.9956011165023212, 0.9962309555947276, 0.9956661966663648, 0.9950860922604617, 0.9947637198779171, 0.9937536361218062]","[0.9942735424624357, 0.9947968634155039, 0.9940975437444618, 0.9951913267307733, 0.9965655922509895, 0.9957303742227036, 0.9949110785048517, 0.9947484682562218, 0.9941031067997179]","[0.9953420834455716, 0.9946650537573497, 0.9924155703806101, 0.9969095925097955, 0.9958420131431929, 0.995962112967462, 0.9951333648178906, 0.9944013134305291, 0.99246380230796]","[0.9942244459972606, 0.9947304213860352, 0.9943360125794158, 0.9967673508065905, 0.9961594842025359, 0.9954463916928029, 0.9962303083936401, 0.9958281317154584, 0.9944366740267135]"
5,10,/logs,cebra-time,0.0028521675677231,-1,3.212991682008965,64,5,3,1000,20000,1,1,2,[0.82399763 0.84530449 0.70294712],[0.81823395 0.77834188 0.69516864],[0.75879889 0.84896465 0.64146595],[0.70903774 0.7765011  0.72808366],25,0.13350641285259743,0.09063923358917236,0.901356685094745,0.5661249186278354,0.09414198994636536,0.8814314342523976,"[0.9121898535867089, 0.831318290270096, 0.8304542611894621, 0.9096345105800298, 0.9094606236091379, 0.8141270389465607, 0.8190399682527355, 0.7575508868995459, 0.9608851046924444]","[0.925278704367352, 0.8476256074132203, 0.8534521528258526, 0.9244149791396193, 0.9176872167373452, 0.830375869544822, 0.8762772410780918, 0.6988293486316373, 0.9698400539580901]","[0.829227616543554, 0.7128874808722058, 0.7382510488776871, 0.8385378169032233, 0.8788099048564968, 0.6377199209996119, 0.6893342787206729, 0.9392145125363148, 0.8339841092793296]","[0.881061866042886, 0.8498111487027734, 0.833511773977384, 0.8876403152721491, 0.8974016464729048, 0.8526813137575417, 0.7669703348207619, 0.892308240013127, 0.9707702407620896]"
