offset_right,time_offsets,logdir,algorithm,learning_rate,steps,temperature,num_hidden_units,offset_left,output_dimension,max_iterations,batch_size
offset_right,time_offsets,logdir,algorithm,learning_rate,steps,temperature,num_hidden_units,offset_left,output_dimension,max_iterations,batch_size,animal,seed,repeat,all,train,valid,test,knn,valid_total_r2,valid_position_error,valid_position_r2,test_total_r2,test_position_error,test_position_r2,all_run_consistency,train_run_consistency,valid_run_consistency,test_run_consistency
5,10,/logs,cebra-time,0.000191,-1,1.198007,64,5,3,1000,20000,0,0,2,[0.81053851 0.82111614 0.81364087],[0.71762971 0.76433938 0.78871419],[0.71304546 0.73400556 0.65287046],[0.75656078 0.82510562 0.71958218],16,0.7220460337156215,0.05610308051109314,0.9626795299600435,0.6195637940909559,0.04827401041984558,0.9280184870403729,"[0.809778336908553, 0.8936862348212853, 0.926572346465424, 0.8990096626080838, 0.8940316508858132, 0.8967082352397782, 0.955800009925674, 0.9304606506014331, 0.9124847773871227]","[0.8198380804956332, 0.9011348447996895, 0.9310421750962462, 0.9087793984449014, 0.9048106622272405, 0.897345956156742, 0.9579967803926568, 0.9360904301646507, 0.9187660544007134]","[0.7954571681394894, 0.8723285977903746, 0.913474121462922, 0.8935336249887603, 0.8560720356430528, 0.8990511587377923, 0.9456953252789608, 0.9146614957580409, 0.8966177907272544]","[0.7962698455775324, 0.8898051103256069, 0.9269310378972926, 0.8673912884452212, 0.8938626230622361, 0.9013442950028985, 0.9582889790796852, 0.9276577676690491, 0.9049343336089141]"
5,10,/logs,cebra-time,0.000191,-1,1.198007,64,5,3,1000,20000,1,0,2,[0.78396051 0.78599946 0.64405243],[0.74166258 0.74296415 0.61449564],[0.65047867 0.71292097 0.55607765],[0.75246904 0.73842554 0.61910102],25,0.5528531499677213,0.1284489631652832,0.7898906751464155,0.4947767912101721,0.13348424434661865,0.8138049576269349,"[0.7105262284766126, 0.9074617740963302, 0.9151012263326542, 0.6678810976904783, 0.9093414566541851, 0.6528374451705913, 0.6718397608932083, 0.9220165432769138, 0.9087072193181127]","[0.7118962526543934, 0.9061618070181217, 0.9169058024951768, 0.6790687973360731, 0.9014325549088915, 0.6584925078005571, 0.6773776643001175, 0.9194127558831703, 0.9062963198747046]","[0.6445495161233227, 0.8699913048672321, 0.8182224257219035, 0.5711796448129073, 0.871944105200368, 0.5052096999857973, 0.5658211357302556, 0.8791302609720583, 0.8737240795699788]","[0.7300766099733456, 0.9231106933597845, 0.9209261209204183, 0.6821223090376951, 0.9370070331092863, 0.6859741893923771, 0.7134338932819575, 0.9318924781513432, 0.9143874444797143]"
5,10,/logs,cebra-time,0.000191,-1,1.198007,64,5,3,1000,20000,2,0,2,[0.63219637 0.76373171 0.56124554],[0.56712734 0.64410893 0.52696414],[0.62852586 0.71111513 0.59779254],[0.7703012  0.73012328 0.62755709],25,-0.11143371407033824,0.2485468089580536,0.4252647022540006,-0.047017462266278974,0.2968863248825073,0.2488729441487062,"[0.8817545030915138, 0.8916757431306674, 0.897841083955373, 0.8904350834232769, 0.8835487257692037, 0.8767684586002833, 0.8926278113434037, 0.8806845281048657, 0.8910176837927296]","[0.8807028836390579, 0.8924941235598843, 0.8997351336743691, 0.8912923450820399, 0.8849538978816859, 0.8766199635075331, 0.894211768049479, 0.8820072175246197, 0.8926454115153692]","[0.8781585576961136, 0.8792861961310657, 0.8895505150074893, 0.8866445566920502, 0.8745979360059041, 0.8748373222684872, 0.8801823037279947, 0.8726001128575692, 0.8829769153802446]","[0.8743922491647597, 0.8769163208970568, 0.8794452799682965, 0.8731141460457809, 0.8639100634425163, 0.8603824787345244, 0.8747300487721165, 0.8638186499380662, 0.8739153066274987]"
5,10,/logs,cebra-time,0.000191,-1,1.198007,64,5,3,1000,20000,3,0,2,[0.92421238 0.82273091 0.80540956],[0.90477088 0.72413047 0.7546895 ],[0.82402411 0.7239463  0.79099232],[0.84771295 0.77636552 0.79926596],25,0.6166198936990229,0.10528433322906494,0.7113719919198467,0.6916167715107204,0.11017751693725586,0.8679605481333911,"[0.905392174218429, 0.9033503382805731, 0.9098904704689438, 0.8270134041528633, 0.905455812999667, 0.8973861825122631, 0.9043109457467272, 0.8994551030658168, 0.8304805044275269]","[0.9034464863181887, 0.903150695691338, 0.9054590559522339, 0.8165326947690592, 0.9027745204292504, 0.8926040554281548, 0.9011035291651028, 0.8953265857946229, 0.8220706957815329]","[0.9210601147234737, 0.9125867339140106, 0.9381973546356553, 0.8670480918871291, 0.9205966453844859, 0.92593785038699, 0.9183802880526691, 0.9198355609758949, 0.8857798262316287]","[0.8981421210507353, 0.884682884706618, 0.9057837978645947, 0.8585564659006453, 0.8992205646779269, 0.9052060743498824, 0.9043521054870315, 0.9002252649085049, 0.8556693965510324]"
5,10,/logs,cebra-time,0.000191,-1,1.198007,64,5,3,1000,20000,0,0,1,[0.85913189 0.79876322 0.84499904],[0.8592373  0.75906967 0.82620007],[0.54208001 0.69866027 0.69874902],[0.68061814 0.68713682 0.71929405],16,0.8279142775766474,0.05782446265220642,0.9376836266863324,0.8176152244373597,0.04170265793800354,0.9771971490456243,"[0.9429898848833614, 0.9467698495274043, 0.8786097341470939, 0.8261055946597097, 0.8697690936651293, 0.9434085223325228, 0.9056884349859701, 0.9476210024377879, 0.8996816993501272]","[0.9399370077991813, 0.946585937024793, 0.8711311672680638, 0.8293682392498786, 0.8611724599333694, 0.9406510404715589, 0.8989623995242191, 0.9419233755248566, 0.8957230889022106]","[0.9489787414168088, 0.952143370774709, 0.9061431042798717, 0.8076440313628277, 0.903150734138622, 0.9508908383645972, 0.9230208193845207, 0.9564160988752991, 0.8989903905370449]","[0.9466785737759453, 0.924265236535733, 0.8405898204575551, 0.8366624728948882, 0.8264549671868107, 0.9453873517729315, 0.8879359881939372, 0.9572695186909366, 0.9189873218551997]"
5,10,/logs,cebra-time,0.000191,-1,1.198007,64,5,3,1000,20000,1,0,1,[0.86778197 0.81501124 0.78983272],[0.8575996  0.77179975 0.79261932],[0.67422947 0.67998769 0.65754778],[0.78779653 0.69875667 0.65509447],16,0.3916956599746964,0.1762201189994812,0.4937407918235125,0.21487279043168325,0.15848803520202637,0.6827713801678349,"[0.9022187432184096, 0.8961484080736303, 0.8813840984100407, 0.910515242578354, 0.7265418397674964, 0.8952212964413863, 0.881943750519197, 0.7207697571204511, 0.8948917439951986]","[0.8972394274651752, 0.890610441155746, 0.8757352102303974, 0.9084491287312968, 0.7250892694290979, 0.8906860732777174, 0.8771247934016282, 0.7141922894036646, 0.8883406843935567]","[0.8913503661705016, 0.8859912394751132, 0.8759853869006964, 0.8915492731095435, 0.7149167053316922, 0.8814417926735928, 0.8692612254834658, 0.6788257186772079, 0.897189890307001]","[0.9259772876625124, 0.9185725613100448, 0.8986932812257247, 0.9195870200009836, 0.7511283229457613, 0.9151693274336613, 0.904494608958187, 0.7676849892737425, 0.9155320986485295]"
5,10,/logs,cebra-time,0.000191,-1,1.198007,64,5,3,1000,20000,2,0,1,[0.75753784 0.8002937  0.73976262],[0.73637685 0.78850246 0.71843334],[0.6799632  0.46089774 0.69887137],[0.73844357 0.6263626  0.66332414],25,0.06985493643077582,0.21210160851478577,0.5492734827193557,-0.07086041210698461,0.224505215883255,0.4617271925980052,"[0.8788607371617893, 0.8809124929938251, 0.8801497420572657, 0.8872832529326032, 0.865828011631462, 0.8826127920415751, 0.8854630373065114, 0.8826110722827463, 0.8820353127493927]","[0.8786709755167307, 0.880606553587819, 0.8804800613327162, 0.8859107976163152, 0.8649758164441165, 0.8824865906970563, 0.8845819483270739, 0.8803448790723921, 0.8808450264608477]","[0.8723817894621512, 0.8777879869375544, 0.8701718466240127, 0.8892000523402331, 0.8601091312822208, 0.8713146583295135, 0.8826311662948095, 0.8862450448656767, 0.8796655440622189]","[0.8763557737695251, 0.875268892029413, 0.8735388843800663, 0.8875066072780914, 0.8687978802272308, 0.8827913967757898, 0.8838906881686922, 0.8837738762001521, 0.8811176338029069]"
5,10,/logs,cebra-time,0.000191,-1,1.198007,64,5,3,1000,20000,3,0,1,[0.94518126 0.86631707 0.81733646],[0.91936118 0.85732677 0.78120661],[0.82695184 0.54930347 0.80564284],[0.89706557 0.67812644 0.74475051],25,0.34191298519440744,0.13991448283195496,0.7026403545543334,0.4094521823091921,0.11072954535484314,0.7388268326997656,"[0.8957563301526714, 0.8825620830868529, 0.8100068469408471, 0.8811374949661772, 0.8927146206017933, 0.8133234292429353, 0.8951638045079647, 0.8276061858237632, 0.8541071762621182]","[0.8960366681493349, 0.8771145919449378, 0.79955750415386, 0.8811458756930827, 0.8931072102569672, 0.8018824112387186, 0.8942423213325382, 0.8168172917912409, 0.839880361081878]","[0.8930890125846204, 0.8896452989599917, 0.8250888125001948, 0.8748021135824997, 0.884009273787537, 0.8373861981791739, 0.8881651736527121, 0.8554726289208968, 0.8743787923131437]","[0.8959820898079355, 0.8905466715714949, 0.8288202834677643, 0.8864856101035942, 0.8950715690526617, 0.8290999821468356, 0.9002247670533956, 0.8423789960819219, 0.8696790309383001]"
5,10,/logs,cebra-time,0.000191,-1,1.198007,64,5,3,1000,20000,0,0,0,[0.84028008 0.76836204 0.91596758],[0.75257641 0.82246865 0.91961379],[0.62987858 0.57597128 0.87928619],[0.68050027 0.47758516 0.81052505],25,0.9073631721184959,0.050729647278785706,0.9670378233496568,0.8219578947022526,0.04984438419342041,0.9624124610382435,"[0.8779487115967691, 0.9185728777051931, 0.7397622275074651, 0.9079935236402452, 0.9120392408479284, 0.9226477969721345, 0.9544063557545169, 0.9091983457538201, 0.9065599509600557]","[0.8690885843339594, 0.9156976019397636, 0.7229735690141951, 0.8995255247764185, 0.9097880972705518, 0.9216649424569227, 0.9540706991670164, 0.8973710720376157, 0.8989962551281531]","[0.8822524736484679, 0.9252126453219748, 0.8480381803089964, 0.9314644065880727, 0.9085165459091575, 0.9285869319109487, 0.9582946094754123, 0.948837995307633, 0.933128013341206]","[0.9127450867223326, 0.9307486366807951, 0.7851663791250898, 0.9295299922360333, 0.9288430879087192, 0.928200388718253, 0.9537063377016292, 0.932993336345656, 0.9289084297524915]"
5,10,/logs,cebra-time,0.000191,-1,1.198007,64,5,3,1000,20000,1,0,0,[0.70554701 0.77385999 0.82651747],[0.69746782 0.81604864 0.84915909],[0.54187331 0.50653954 0.72836812],[0.58018156 0.4992036  0.58638387],25,0.19629195049598494,0.193739652633667,0.5213345072600934,0.31129763955825945,0.1914362907409668,0.4681681388061869,"[0.9094658316005123, 0.919811271731641, 0.9112110760699054, 0.7501865275874465, 0.9189203036963223, 0.7193007347145143, 0.9148898467985918, 0.9158345531574055, 0.9109100044727465]","[0.9237675144034824, 0.930471360531433, 0.9137734861135254, 0.7211004544229591, 0.9246035979683702, 0.7246419707621038, 0.9191777181222398, 0.9138987223256771, 0.9260517294214631]","[0.9032514676651592, 0.9065480984401106, 0.908456856025896, 0.7927650462990957, 0.9152030696125042, 0.7541775383312487, 0.9161324347044394, 0.9137304715048941, 0.907508270295561]","[0.8686862608872143, 0.8937217431728647, 0.895221942034586, 0.7843861213230138, 0.9022988245859279, 0.6844917806960368, 0.8924878934970953, 0.9083311685018237, 0.8611670454917725]"
