offset_right,time_offsets,logdir,algorithm,learning_rate,steps,temperature,num_hidden_units,offset_left,output_dimension,max_iterations,batch_size
offset_right,time_offsets,logdir,algorithm,learning_rate,steps,temperature,num_hidden_units,offset_left,output_dimension,max_iterations,batch_size,animal,seed,repeat,all,train,valid,test,knn,valid_total_r2,valid_position_error,valid_position_r2,test_total_r2,test_position_error,test_position_r2,all_run_consistency,train_run_consistency,valid_run_consistency,test_run_consistency
5,10,/logs,cebra-time,0.001438,-1,0.108007,64,5,3,1000,20000,0,0,1,[0.7899736  0.78412487 0.90793902],[0.80229406 0.77478386 0.87674263],[0.46595643 0.68930416 0.82069245],[0.67560416 0.77282426 0.85637693],25,0.8304254455379798,0.06929658353328705,0.9404388064215232,0.7593026379905793,0.04484712705016136,0.9799322037868671,"[0.9609651213809273, 0.9712603115177875, 0.967486108137182, 0.9665678612345908, 0.9482545464158431, 0.9661951083293271, 0.9618329094399934, 0.9587356501446842, 0.9594432977030406]","[0.9596111925013261, 0.9702360178497761, 0.9646503677219768, 0.9656691916360716, 0.9482418947106536, 0.9646370193827024, 0.9603158077116772, 0.9558103677885689, 0.9607263586975501]","[0.9670601512110073, 0.977037426925595, 0.9747353024197558, 0.962633795419972, 0.943408272588317, 0.9674828486264825, 0.9599591604676498, 0.9575559397606868, 0.9513959399347064]","[0.9712683189721908, 0.9774735313368677, 0.9764777335276369, 0.9793856849796277, 0.962837386026458, 0.9798219129801952, 0.9747290615397975, 0.9738355893512313, 0.9814680443747426]"
5,10,/logs,cebra-time,0.001438,-1,0.108007,64,5,3,1000,20000,1,0,1,[0.72025681 0.70265667 0.70731324],[0.76828783 0.73791466 0.75076829],[0.42368229 0.49700378 0.48181043],[0.65737529 0.61921054 0.68101877],16,0.11494618121116724,0.1677539348602295,0.5045235276068989,0.16955730797085786,0.12173330783843994,0.8299017399397761,"[0.751501671253198, 0.9202519124577876, 0.5642048120681737, 0.5418461003760385, 0.7944141246636316, 0.8967869684046196, 0.886782634619907, 0.8103228543209434, 0.9305520627714658]","[0.7443019467872936, 0.9141634738329142, 0.596417305278278, 0.5705659057971662, 0.7838493433819386, 0.890416028544318, 0.8842482519304159, 0.7829202791179676, 0.9297329485530517]","[0.8269545051605286, 0.9083648937500831, 0.5704722766185738, 0.5479604025131478, 0.8656460932822311, 0.8965556617131264, 0.9044665788667222, 0.898549941984203, 0.921877753834765]","[0.830821083247021, 0.9449191142958462, 0.5571891950533011, 0.5112155420477297, 0.8875484721173169, 0.9103391050301924, 0.8972764088864973, 0.9031338238102206, 0.9423058572098525]"
5,10,/logs,cebra-time,0.001438,-1,0.108007,64,5,3,1000,20000,2,0,1,[0.79354127 0.79178169 0.82261083],[0.77818838 0.74936992 0.79653083],[0.71582298 0.45790147 0.75752043],[0.76076417 0.67350318 0.79641886],25,0.06575955895852477,0.1765017807483673,0.617453521724189,0.04360253741013779,0.18728530406951904,0.5539061781253173,"[0.8802485009116809, 0.8920325352766993, 0.5342234859190305, 0.8876643015559749, 0.9029672484128456, 0.9033353760054834, 0.8929577117897726, 0.8845288564517659, 0.648613932110735]","[0.8743261463865201, 0.8887327867580642, 0.5162959507131283, 0.8870304700503283, 0.9007882764688967, 0.9017469768083023, 0.891924155764718, 0.8823815924378767, 0.6573755289745423]","[0.892288007137692, 0.8963026520639129, 0.6194868182540512, 0.8827567798664445, 0.9050292569065324, 0.8935348312812287, 0.8913790297700329, 0.887613701379546, 0.6022965039810614]","[0.8978396348290771, 0.900530956457775, 0.5900168198140516, 0.885342727611922, 0.9089871915484743, 0.8963743193740052, 0.8913567852197364, 0.8758085187364172, 0.6137067593610217]"
5,10,/logs,cebra-time,0.001438,-1,0.108007,64,5,3,1000,20000,3,0,1,[0.89624243 0.79074758 0.82090799],[0.8610083  0.7795796  0.80177625],[0.78189162 0.4858436  0.74419165],[0.81729868 0.68346142 0.83301266],25,0.37384251236893956,0.11701852083206177,0.7606927582905563,0.37258060543876353,0.08388474583625793,0.7393366190175337,"[0.8871657487270084, 0.9271931655122527, 0.9305015474609629, 0.9287111607877238, 0.9359459468566141, 0.9287531897371392, 0.9264038593028854, 0.9286739926602213, 0.921408739287762]","[0.8722309457897576, 0.9305811761609295, 0.93707240837763, 0.928925897717118, 0.9408636392253605, 0.9309017755740684, 0.9305289208171116, 0.9325023248359822, 0.923680335959904]","[0.9206309584035819, 0.9320069944174945, 0.9302528368506953, 0.9289261266558868, 0.9328781808985883, 0.9274665502581119, 0.9281593958190716, 0.9313331868224027, 0.9240094394037678]","[0.904875929290092, 0.9091252657603072, 0.9087099865196389, 0.9280102509679717, 0.9219685017889231, 0.9208959388040837, 0.9099881922541718, 0.9117473866665318, 0.9106505567162912]"
5,10,/logs,cebra-time,0.001438,-1,0.108007,64,5,3,1000,20000,0,1,1,[0.68142417 0.72954651 0.62865537],[0.67639863 0.7390125  0.59525246],[0.3861963  0.70843152 0.60559777],[0.58064994 0.70827321 0.64434092],25,0.7920515014706445,0.062331825494766235,0.9208834571635222,0.7806278011636216,0.044873520731925964,0.9789054442517808,"[0.9605330881249866, 0.9631114565412386, 0.9671268418983798, 0.9609852002255597, 0.9434339676906037, 0.966000222059792, 0.9566911719450806, 0.9468409699600153, 0.9642633791083538]","[0.9588737079834502, 0.961439644621894, 0.9644325375726441, 0.9591570842447155, 0.938952107010791, 0.9651534614351708, 0.954461753819355, 0.942720204536165, 0.968492355784249]","[0.9667822501351777, 0.969248743109859, 0.9750298000744327, 0.9612835285424247, 0.9457564471337546, 0.9710960797857539, 0.9507880656846753, 0.9461231114708054, 0.9454370221624443]","[0.9716422829969747, 0.973942955836676, 0.976337092023256, 0.979108130973818, 0.9575488650658466, 0.9698667647088245, 0.9747781105054346, 0.9689128074877938, 0.9772767398347394]"
5,10,/logs,cebra-time,0.001438,-1,0.108007,64,5,3,1000,20000,1,1,1,[0.74927581 0.7901903  0.57318416],[0.76807486 0.79391888 0.55949154],[0.37630227 0.58948826 0.40140933],[0.59898713 0.59654855 0.47634964],25,0.19724534841470728,0.16405367851257324,0.48146040604124396,0.27774451278606166,0.12090682983398438,0.8091096499612558,"[0.7522504817595638, 0.7691822751696442, 0.5983184584587761, 0.5895656053528674, 0.8936751048612009, 0.7401858201452134, 0.7618530065081023, 0.8685167788022393, 0.7611240575276518]","[0.7308463338439578, 0.7570203389039509, 0.619859271684362, 0.6049080759996885, 0.8914831349792478, 0.7256297270730475, 0.7557576528704356, 0.852583006061694, 0.7474751160592324]","[0.846763625372359, 0.8386265954582321, 0.6324800615373697, 0.5991186548036896, 0.8926205534009135, 0.8166923473096571, 0.8418484983196896, 0.905278329938702, 0.8588049994611565]","[0.8274017930488702, 0.8415007002522831, 0.6246058186953091, 0.5910093889023532, 0.8980689745676456, 0.7965663413220362, 0.8098911799289983, 0.8811512500724027, 0.8286221878332315]"
5,10,/logs,cebra-time,0.001438,-1,0.108007,64,5,3,1000,20000,2,1,1,[0.79343551 0.7223678  0.58947942],[0.75253595 0.6425645  0.55099222],[0.71483956 0.40640815 0.54051145],[0.6807561  0.57699189 0.61771962],25,0.07615214794221181,0.18386143445968628,0.611493055745961,0.03380436085047778,0.19034941494464874,0.5647052266115764,"[0.877370601670059, 0.8874523743546033, 0.5109198892855752, 0.8881206087089684, 0.8844126630068739, 0.8814938699585256, 0.8893802453903875, 0.8652731416914294, 0.6379757905683595]","[0.8730339708763689, 0.8822530628632715, 0.49118513885151466, 0.8860001417887259, 0.8809116949410075, 0.8787001177132928, 0.8873337526539803, 0.8617082359529323, 0.6448727189303346]","[0.8805645911757757, 0.9005423975993453, 0.6153201861955955, 0.8898005054700248, 0.8955312610453964, 0.8752590927388489, 0.8898716149370078, 0.8682903740567863, 0.6016219540817792]","[0.8845745342728453, 0.9015335406259046, 0.570505086531413, 0.8918836540971435, 0.8936479017351683, 0.8781021944322004, 0.8916491174126707, 0.8661298618555872, 0.6131576040836014]"
5,10,/logs,cebra-time,0.001438,-1,0.108007,64,5,3,1000,20000,3,1,1,[0.86688309 0.67035421 0.77357592],[0.81081626 0.61469278 0.75886272],[0.74305227 0.3823477  0.7442974 ],[0.72813467 0.59567339 0.77452175],25,0.2963857289406368,0.10716813802719116,0.6957766968142511,0.42667758368678665,0.08045077323913574,0.7164200255553135,"[0.887108048573988, 0.8829394064388737, 0.8884286282607041, 0.8722393413841942, 0.8912763753457204, 0.8798986704106607, 0.864744294952008, 0.8736289317167164, 0.8651372123277392]","[0.871789787984135, 0.8764463294976244, 0.8782164160465674, 0.859654259926316, 0.8880455653608111, 0.8671721418387511, 0.8497836939516361, 0.8647313635993893, 0.8429757788141216]","[0.9184854448656049, 0.9158104884020636, 0.916031167087909, 0.9074425868753685, 0.9122688976501641, 0.9184218224946471, 0.907160627697304, 0.9074790048018363, 0.9091552374988391]","[0.9052459109874683, 0.8825591897983299, 0.9003232990358686, 0.8962962162880168, 0.8955072602246165, 0.891101734692269, 0.8799880237732203, 0.880337931968367, 0.8946655357019333]"
5,10,/logs,cebra-time,0.001438,-1,0.108007,64,5,3,1000,20000,0,0,2,[0.68834071 0.78623177 0.75522028],[0.63041457 0.72706872 0.72259902],[0.34007833 0.78234163 0.80296991],[0.53229726 0.81300053 0.82451432],25,0.7764494425113225,0.056014418601989746,0.934906138923095,0.6212322120179697,0.05556011199951172,0.9330237408128982,"[0.9688956472011752, 0.9678174584372851, 0.9554665942425874, 0.7850547427580302, 0.9558123667330208, 0.959414993561098, 0.9641601552189805, 0.9426976198857845, 0.963755193317651]","[0.9692153793566854, 0.9704338692143035, 0.9493664114537141, 0.8037368865949306, 0.9501591627417887, 0.9512352807492598, 0.9584366591697216, 0.9561408127715371, 0.9620017143432632]","[0.9664287501225161, 0.9631785178192235, 0.9603695973912038, 0.8012224895390628, 0.9602219989084751, 0.969863844823343, 0.973801542943173, 0.9217924077216043, 0.9668549656052452]","[0.9682527355980942, 0.962149892607072, 0.972397143608292, 0.6681767995776098, 0.9784046377426602, 0.9813975536793019, 0.9792554405536359, 0.942864171270292, 0.9692595983311584]"
5,10,/logs,cebra-time,0.001438,-1,0.108007,64,5,3,1000,20000,1,0,2,[0.82593452 0.78396715 0.64032463],[0.76020739 0.68774468 0.56462216],[0.56779439 0.60696521 0.63245064],[0.68602112 0.7036075  0.68412623],25,0.30046516492475944,0.09898436069488525,0.866339202573808,0.31492589948042976,0.12805809080600739,0.8013567431819095,"[0.9105984555109607, 0.907047813885443, 0.8923174963317498, 0.5319074842067112, 0.8909233855334016, 0.9014532138979755, 0.9227206533065009, 0.7860558112762209, 0.7873783594074792]","[0.9162400105410143, 0.904360595469508, 0.9026615284355776, 0.5351954116806407, 0.8893627619146302, 0.9007191067706567, 0.9183913600751309, 0.7676902691321036, 0.776904085457823]","[0.8479497376102044, 0.9053680333416186, 0.8327357365802234, 0.5489294666890544, 0.8729988156322385, 0.9017134311046577, 0.9046987868960946, 0.8217108974653825, 0.7331436827624406]","[0.9156602206936908, 0.9028103354896274, 0.9069013203322939, 0.552401652486673, 0.8740221253314472, 0.8867051775833671, 0.914764453211693, 0.8686229113839303, 0.8628057189106885]"
