offset_right,time_offsets,logdir,algorithm,learning_rate,steps,temperature,num_hidden_units,offset_left,output_dimension,max_iterations,batch_size
offset_right,time_offsets,logdir,algorithm,learning_rate,steps,temperature,num_hidden_units,offset_left,output_dimension,max_iterations,batch_size,animal,seed,repeat,all,train,valid,test,knn,valid_total_r2,valid_position_error,valid_position_r2,test_total_r2,test_position_error,test_position_r2,all_run_consistency,train_run_consistency,valid_run_consistency,test_run_consistency
5,10,/logs,cebra-time,0.000153,-1,0.209805,64,5,3,1000,20000,0,0,1,[0.70563336 0.57730952 0.91878573],[0.70084408 0.55290795 0.90267159],[0.44196216 0.53296605 0.8303397 ],[0.58087372 0.55574993 0.84531053],16,0.8515289671795134,0.0620957612991333,0.9464094815849294,0.789665377266133,0.04979681968688965,0.9713503064037311,"[0.954161174679213, 0.9527957835449037, 0.9517563859612457, 0.9497053975880684, 0.9467835405158619, 0.9353825773965853, 0.9124212549193444, 0.9383794655965113, 0.9469784832043957]","[0.9556747770269057, 0.9540094311688532, 0.9520127507975634, 0.9500652240766326, 0.9468658694478483, 0.9340589888835499, 0.9127541647856835, 0.9378830367373543, 0.9466492887535765]","[0.9523551804403808, 0.9500323262376127, 0.9496859772214745, 0.9493536403996757, 0.9503959089084603, 0.9388636170640826, 0.9206845887989673, 0.9454595913114664, 0.9505797304899734]","[0.9486441951952904, 0.9487685563842376, 0.9524777421477921, 0.9470149846746194, 0.9470747595420034, 0.9361991330813257, 0.903764196768366, 0.9259407737249631, 0.9449608777027759]"
5,10,/logs,cebra-time,0.000153,-1,0.209805,64,5,3,1000,20000,1,0,1,[0.83416195 0.74839145 0.82677193],[0.86067842 0.74246665 0.87397706],[0.57451176 0.47501793 0.65344614],[0.61087382 0.37774551 0.5830123 ],16,0.3384437083514953,0.15048527717590332,0.5831793584913936,0.2796217698032315,0.1304999589920044,0.7241568426507488,"[0.8887085860790896, 0.8868025789887696, 0.871692843090443, 0.5973797660586463, 0.8847606421477135, 0.8950167416447528, 0.9032511369242466, 0.8929628112317355, 0.6376403995601969]","[0.8776902390658563, 0.8752994824978623, 0.8625012115112867, 0.5949698316224037, 0.8786753201065421, 0.8893750527324548, 0.8954990046229151, 0.8886466148785356, 0.6375617540718496]","[0.90414090259133, 0.8985440447712195, 0.8915979447151994, 0.6527936702889917, 0.8960821182545313, 0.8910822614706149, 0.9159580692582735, 0.8804296500823092, 0.6952731043788636]","[0.9227137562208844, 0.9217986636972522, 0.8945442765054952, 0.6188444499658693, 0.9087876606919615, 0.9138024288966381, 0.9198810430580567, 0.9176353034502583, 0.6483008096046287]"
5,10,/logs,cebra-time,0.000153,-1,0.209805,64,5,3,1000,20000,2,0,1,[0.8333816  0.77532589 0.81065644],[0.79833253 0.7317417  0.78606687],[0.74634036 0.44041054 0.76104205],[0.82318445 0.55280448 0.77299584],16,3.2317175443534e-05,0.2309131622314453,0.5337497301876231,-0.10622492171777309,0.23781517148017883,0.42023048562942367,"[0.924103092534994, 0.9136662160167659, 0.911913267374442, 0.9071953435790975, 0.9092726932471952, 0.9181899033116189, 0.9163803151531029, 0.9210213838464402, 0.9239160532673761]","[0.9225289398837369, 0.9117925878560782, 0.9097954570467657, 0.9071422575878053, 0.9114278839719896, 0.9164602387999201, 0.9171122021798367, 0.9184120018387295, 0.9225999723645338]","[0.926351184466426, 0.9192704235461114, 0.9175209599566004, 0.9060515768529293, 0.9061772889163544, 0.9236872025411662, 0.9115054151775371, 0.9284909583122154, 0.9268215093244004]","[0.9251885290227188, 0.9189559307731412, 0.908207549829601, 0.9003594361319459, 0.8881991298166172, 0.919024056983775, 0.9009183791858812, 0.9233025211890654, 0.9154167697849812]"
5,10,/logs,cebra-time,0.000153,-1,0.209805,64,5,3,1000,20000,3,0,1,[0.93636707 0.77277386 0.67197954],[0.92098303 0.77610049 0.66746186],[0.81396014 0.48364239 0.61342646],[0.88226523 0.5619579  0.63565513],25,0.32921356679702674,0.14583510160446167,0.6621835882785907,0.35183157470102816,0.12300428748130798,0.6729738039815587,"[0.8920387372891273, 0.8861743558983749, 0.8992714583084642, 0.9035403348026662, 0.903172025708988, 0.9081225562154854, 0.8986288060984483, 0.9069170438178714, 0.8873030426111669]","[0.8935787114128542, 0.8832017362741605, 0.9036131408719202, 0.9070254553067006, 0.9060370878962116, 0.9123251029716805, 0.8996115891387949, 0.9115074123703998, 0.8894135439195031]","[0.8978082380666063, 0.8923755752174984, 0.8925230762924987, 0.8991362870651782, 0.899085261410569, 0.899344614688714, 0.9019840040010574, 0.9000312416918227, 0.879933321852004]","[0.8815183986088723, 0.8873025208408009, 0.8926037590868785, 0.8961317987186351, 0.8937048024231906, 0.9009363860125482, 0.8919548981589415, 0.8970378170855663, 0.8877022159423459]"
5,10,/logs,cebra-time,0.000153,-1,0.209805,64,5,3,1000,20000,0,1,1,[0.74059902 0.71533502 0.65468687],[0.74572498 0.71587555 0.65820743],[0.46783294 0.72506689 0.61655555],[0.61207311 0.72573678 0.65048513],9,0.8752648110468483,0.060598134994506836,0.9459421509926094,0.8315190747975775,0.04531669616699219,0.9799073506905868,"[0.9541050389219583, 0.9522620423182578, 0.9562540917262221, 0.9536902246137582, 0.9547306537492891, 0.943385493705688, 0.9254865896567465, 0.9486374321361778, 0.9446244921156769]","[0.9555348671806222, 0.9509356650373104, 0.9535183830254784, 0.9548328301780659, 0.9522861044564922, 0.9404817466213359, 0.9232099157544491, 0.9480849309002837, 0.9374502905853989]","[0.9516091335206767, 0.9517833925536121, 0.9567005838791811, 0.947710531433347, 0.9576518038763836, 0.9414205994714901, 0.9365840014533235, 0.9478281133186607, 0.9552912038150342]","[0.9445478503141286, 0.9510717988492531, 0.95978237023642, 0.9531228441900795, 0.9604592298467326, 0.9529325003100476, 0.9198566802557712, 0.9456165914484918, 0.9573379924670427]"
5,10,/logs,cebra-time,0.000153,-1,0.209805,64,5,3,1000,20000,1,1,1,[0.84737995 0.83096258 0.65409969],[0.86753236 0.82220115 0.67097666],[0.5517659  0.58114153 0.43526113],[0.58272103 0.57581085 0.43240726],25,0.2876303959564905,0.16250458359718323,0.5657197328332582,0.25880506382540264,0.13053792715072632,0.7692759114152546,"[0.8856765130592793, 0.9044799699919787, 0.9114712869403157, 0.6137927477069507, 0.9193556459140648, 0.9063016957174407, 0.872593474505348, 0.918200694118844, 0.6638516831993947]","[0.8812355526877486, 0.8977326203966621, 0.9099353974051909, 0.6145253607455278, 0.9164946599454601, 0.9062826794420968, 0.8658137719944845, 0.9166247034215781, 0.6691271267959183]","[0.8731469108946528, 0.9117913647620338, 0.918380371960804, 0.6421088904180404, 0.9238070901797061, 0.8973840081064671, 0.8815124776438762, 0.9100165573127588, 0.6993925649477933]","[0.9134753234807983, 0.9279495289258425, 0.918723107908106, 0.6289421201701283, 0.927186565397253, 0.9118267232692056, 0.8991528705598405, 0.9257067219555921, 0.6526336789728672]"
5,10,/logs,cebra-time,0.000153,-1,0.209805,64,5,3,1000,20000,2,1,1,[0.81749613 0.80005091 0.62715827],[0.77283802 0.75303946 0.57987918],[0.74341196 0.47516405 0.58412172],[0.81862325 0.61659385 0.64181518],16,-0.015327035430326949,0.23734602332115173,0.5248099052794353,-0.13045751135202277,0.23497331142425537,0.40782308388339983,"[0.922961180625768, 0.9046529292975509, 0.9205276759072669, 0.9102431668034296, 0.91813902238423, 0.9207119830214304, 0.9171963522574779, 0.9210586474363177, 0.9256446666563343]","[0.9228172981477596, 0.9039660231500027, 0.9188714494218265, 0.9125682817900662, 0.9199375717579216, 0.9195613244586894, 0.9180708201378507, 0.9192654407679486, 0.9250792102020471]","[0.917712339635591, 0.9033748860511017, 0.9241585228801625, 0.8960992358246819, 0.908737520780169, 0.9238214781977331, 0.9081807029337338, 0.9238819132709407, 0.9231346032026485]","[0.9179426876101323, 0.905399586873004, 0.916038437540112, 0.8951547002432586, 0.901558772467992, 0.9194260686958895, 0.9021720924471005, 0.9204986949065121, 0.9175049054486882]"
5,10,/logs,cebra-time,0.000153,-1,0.209805,64,5,3,1000,20000,3,1,1,[0.91612014 0.7933022  0.76296831],[0.89606131 0.77485929 0.74074646],[0.77698471 0.48750107 0.76228965],[0.88366336 0.61213171 0.79224517],25,0.3476477132493749,0.13983117043972015,0.6891838943056507,0.4108866468043679,0.11205209791660309,0.7040308591314672,"[0.8911325954559449, 0.8915372988656722, 0.8975168726420742, 0.8969560214565044, 0.8955017066463792, 0.9020190051069469, 0.8933478509532659, 0.9047522186219074, 0.9016503558762955]","[0.8927472903358078, 0.8897166355041631, 0.9011475643090359, 0.8973190154057953, 0.8957197513771372, 0.9046170505431225, 0.8958129866677343, 0.9045365088202271, 0.904502969945283]","[0.8987236573083307, 0.9000513545582741, 0.8990044481057448, 0.9004426849974387, 0.9005311571018099, 0.8997298874614978, 0.9020027438547129, 0.9127605230928785, 0.8994782859233087]","[0.8771502559787443, 0.8859031326982801, 0.8856952612542878, 0.8924859908454142, 0.8856648485127089, 0.8943388796618833, 0.8766825897386679, 0.8950399263059419, 0.8942463786304243]"
5,10,/logs,cebra-time,0.000153,-1,0.209805,64,5,3,1000,20000,0,0,2,[0.67796803 0.71704245 0.91676184],[0.61555008 0.67756293 0.9026813 ],[0.50034202 0.66166344 0.88029041],[0.61746175 0.75703241 0.87621055],16,0.7399816890118641,0.0625312328338623,0.9559307147137168,0.6465811154503199,0.050172507762908936,0.958150112750768,"[0.9345817225555696, 0.9484560098508367, 0.9425434269559654, 0.9502804644471666, 0.955997645268936, 0.9549805268201116, 0.9424286704761758, 0.9468105374549944, 0.9435863885534097]","[0.9385195705951497, 0.9498135892022553, 0.9427032975439117, 0.9499704215980241, 0.9551439238668129, 0.9566614045638623, 0.9474959721259607, 0.9486449541980865, 0.9463102840396477]","[0.9145495064381649, 0.9378122970590321, 0.9367475536296769, 0.9455491784625796, 0.9508305545539287, 0.9401139385753602, 0.927607750019647, 0.9324245668975709, 0.9300300985293896]","[0.9318344101757328, 0.9465632035054715, 0.9469680504592315, 0.9517862295292766, 0.9593196487631351, 0.9560927590403062, 0.9331132240996114, 0.9509391760260583, 0.940797709529927]"
5,10,/logs,cebra-time,0.000153,-1,0.209805,64,5,3,1000,20000,1,0,2,[0.79174718 0.80483367 0.81512681],[0.66384762 0.66878693 0.72585768],[0.66617866 0.70188836 0.78557874],[0.75074643 0.69167258 0.81108335],25,0.12278634623152322,0.11683869361877441,0.7054511755337254,0.3271863990447377,0.12573787569999695,0.8381382419520723,"[0.8788188249605947, 0.8146377855941073, 0.8949768315030949, 0.9191117309927604, 0.8748116850114792, 0.7847401179636275, 0.8270596129392782, 0.8494409783660962, 0.8500818206058544]","[0.876143019712805, 0.8254718238198144, 0.8959824593688145, 0.9183005454782954, 0.8815996197157409, 0.7459313263213531, 0.8398378023458548, 0.8548902911336475, 0.8256993883841789]","[0.8398005376101284, 0.6860344099955382, 0.8782765881084056, 0.9182943920432005, 0.7689069652870631, 0.8473738102068564, 0.696958363652271, 0.7593571571972166, 0.8699471348813054]","[0.8818064947046585, 0.8352310296308945, 0.8938117968374722, 0.9083001153447432, 0.8788640406625047, 0.8974851970422827, 0.8774353568963494, 0.8724087123640332, 0.9084688323578973]"
