num_hidden_units,model_architecture,output_dimension,loader,logdir,temperature,algorithm,steps,offset_left,learning_rate,batch_size,max_iterations,time_offsets,offset_right
num_hidden_units,model_architecture,output_dimension,loader,logdir,temperature,algorithm,steps,offset_left,learning_rate,batch_size,max_iterations,time_offsets,offset_right,animal,seed,repeat,all,train,valid,test,knn,valid_total_r2,valid_position_error,valid_position_r2,test_total_r2,test_position_error,test_position_r2,all_run_consistency,train_run_consistency,valid_run_consistency,test_run_consistency
64,offset1-model,3,continuous,/logs,6.07655183606464,cebra-behavior,-1,0,0.0025920565687362,20000,1000,10,1,0,0,2,[0.78848344 0.64928624 0.9014866 ],[0.79525236 0.59805904 0.88759913],[0.43957743 0.3039985  0.59206725],[0.47901766 0.38969879 0.6815024 ],25,0.22586707535241357,0.15573781728744507,0.4570095642414975,0.2768900493792055,0.1442362666130066,0.4703050428279111,"[0.9100748331173435, 0.9106334263156178]","[0.9590543131326261, 0.9595589311649269]","[0.8218609803634992, 0.8054316335859465]","[0.804553270851866, 0.81871496844433]"
64,offset1-model,3,continuous,/logs,6.07655183606464,cebra-behavior,-1,0,0.0025920565687362,20000,1000,10,1,1,0,2,[0.79832085 0.62932936 0.81560716],[0.79055286 0.55274641 0.78196921],[0.47124864 0.22285021 0.43719373],[0.52312357 0.23685784 0.54484228],25,-0.1314961877321261,0.2639007866382599,0.2700941901838372,-0.30121765714876464,0.24178314208984375,0.22969021040424242,"[0.9592382259254285, 0.9544301898144765]","[0.9587244102721769, 0.9548397786468891]","[0.9452739710548448, 0.942204285287595]","[0.9674783544291418, 0.959669404689123]"
64,offset1-model,3,continuous,/logs,6.07655183606464,cebra-behavior,-1,0,0.0025920565687362,20000,1000,10,1,2,0,2,[0.76414974 0.57533803 0.56995641],[0.73354943 0.57795482 0.52970011],[0.51793022 0.29546509 0.38154075],[0.56739536 0.32318377 0.42021115],25,-0.6107767926445091,0.4709785580635071,-0.18752519222164898,-0.3634237102081814,0.49324190616607666,-0.03383976568312708,"[0.9065711095079996, 0.9146212560154526]","[0.9099992982832874, 0.915621439978968]","[0.901987159667109, 0.9102341497953446]","[0.8989808250758302, 0.9132453977243683]"
64,offset1-model,3,continuous,/logs,6.07655183606464,cebra-behavior,-1,0,0.0025920565687362,20000,1000,10,1,3,0,2,[0.94915129 0.84184453 0.6966314 ],[0.93944923 0.82179817 0.62606833],[0.71529422 0.48135157 0.3009873 ],[0.78676806 0.56324724 0.42114549],25,-0.18673191998515903,0.26178812980651855,0.03676683070274811,-0.07682551506283526,0.2609194219112396,0.23906574654684154,"[0.926928368333051, 0.9203864279553708]","[0.9299616432678758, 0.9246791307397798]","[0.9161599423814405, 0.9033884904474369]","[0.9182683536344148, 0.9107792830204868]"
64,offset1-model,3,continuous,/logs,6.07655183606464,cebra-behavior,-1,0,0.0025920565687362,20000,1000,10,1,0,0,1,[0.65473265 0.59093894 0.93041435],[0.68719246 0.53963464 0.93115878],[0.424129   0.22033015 0.66451496],[0.42333199 0.30658147 0.71862652],9,-0.22975690907069954,0.15350128710269928,0.3975266718528969,-0.18007542884157987,0.12469716370105743,0.5668812187251542,"[0.409251386497615, 0.3358038225447772]","[0.4308498097340749, 0.34677678255194744]","[0.36073102397886236, 0.3168246085876446]","[0.38422458072312793, 0.3186996867442852]"
64,offset1-model,3,continuous,/logs,6.07655183606464,cebra-behavior,-1,0,0.0025920565687362,20000,1000,10,1,1,0,1,[0.57230028 0.41260353 0.62422234],[0.68214246 0.40977586 0.70402376],[0.31848822 0.11865519 0.37086043],[0.35003862 0.21471985 0.35196032],16,-0.3961477089254135,0.2544754147529602,0.03031814692628776,-0.4385711670450066,0.24643248319625854,-0.07731483258062011,"[0.8685264081708371, 0.8610023987346954]","[0.8737191140986044, 0.8657479180764615]","[0.8440918156429941, 0.8342248613495387]","[0.8651517671672604, 0.8629227798039523]"
64,offset1-model,3,continuous,/logs,6.07655183606464,cebra-behavior,-1,0,0.0025920565687362,20000,1000,10,1,2,0,1,[0.53130416 0.45756298 0.61836263],[0.48479871 0.4764131  0.57555931],[0.242085   0.21372391 0.30995762],[0.36508084 0.30124632 0.37229344],25,-0.6420064322312112,0.43714460730552673,-0.46391069635195903,-0.5602166997994839,0.3627653121948242,-0.05030870657016573,"[0.9008590476495356, 0.9003693555953124]","[0.902671256025366, 0.9022973795665914]","[0.8883478445003427, 0.8924259268348953]","[0.8979182216928633, 0.8932416029804339]"
64,offset1-model,3,continuous,/logs,6.07655183606464,cebra-behavior,-1,0,0.0025920565687362,20000,1000,10,1,3,0,1,[0.92322634 0.65549615 0.60638439],[0.91660345 0.66570079 0.54591166],[0.60392877 0.45574245 0.23824938],[0.68124446 0.39443954 0.28290889],9,-0.3370998030196913,0.3503628969192505,0.05476503376017572,-0.33760281173352324,0.3204817473888397,-0.041256537640048885,"[0.9299898088332674, 0.9114860721885387]","[0.9406007448970528, 0.9241591384095038]","[0.915152613572355, 0.887334584195338]","[0.9166801029637769, 0.90033437655129]"
64,offset1-model,3,continuous,/logs,6.07655183606464,cebra-behavior,-1,0,0.0025920565687362,20000,1000,10,1,0,0,0,[0.78223813 0.6449206  0.88658671],[0.76484635 0.66375848 0.91919646],[0.35652968 0.37377114 0.52082426],[0.53722071 0.26956788 0.61457063],9,0.5198730499951888,0.12945157289505005,0.5645352811014779,0.40372716703770434,0.15046574175357819,0.523770963570276,"[0.8912299721542413, 0.8853349168738247]","[0.9368128647805042, 0.926528964629203]","[0.815822960397171, 0.8218180509841941]","[0.788725763838087, 0.7884989772696057]"
64,offset1-model,3,continuous,/logs,6.07655183606464,cebra-behavior,-1,0,0.0025920565687362,20000,1000,10,1,1,0,0,[0.75250339 0.53383112 0.78743267],[0.75070134 0.47894395 0.76041398],[0.33555669 0.18090217 0.30830988],[0.47006481 0.14931982 0.41311754],4,-0.4948999147972808,0.25765109062194824,-0.13357104360377625,-0.7446709574605647,0.36505842208862305,-0.8501173285805841,"[0.8346152356555491, 0.9496241521743372]","[0.8531713233164608, 0.9604862859757742]","[0.8335847265297561, 0.9406474010176948]","[0.7973801396056418, 0.9259131631816038]"
