n_components,metric,n_jobs,logdir,algorithm,n_neighbors,steps,min_dist,offset_left,offset_right
n_components,metric,n_jobs,logdir,algorithm,n_neighbors,steps,min_dist,offset_left,offset_right,animal,seed,repeat,all,train,valid,test,knn,valid_total_r2,valid_position_error,valid_position_r2,test_total_r2,test_position_error,test_position_r2,all_run_consistency,train_run_consistency,valid_run_consistency,test_run_consistency
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,1,2,0,[0.33387831 0.33535004 0.26931952],[0.27947559 0.15069312 0.26747575],[0.17719119 0.17508919 0.09563959],[0.56942217 0.13731701 0.32311951],25,-0.2647867918391423,0.2368425726890564,0.22702339581726583,-0.2527870380893206,0.27162110805511475,0.20709573447354046,"[0.9092842604951591, 0.5525700369663701, 0.941326089025856, 0.5925307164616953, 0.9318430738816916, 0.8798097553054225, 0.7428185162587249, 0.9485629928432135, 0.9445798679868487]","[0.9015108296190187, 0.5593534626470074, 0.943213641485144, 0.5995075237173557, 0.9275551624748742, 0.8722897269974353, 0.7420906698589225, 0.9423130435656017, 0.9465198513477507]","[0.914208090973063, 0.4984977791748916, 0.9451499484681676, 0.5431569250462362, 0.9253891414825188, 0.9165493424430327, 0.7419101238816868, 0.946945552055024, 0.9489032470958073]","[0.9249374263691564, 0.5572023726968753, 0.9315562906161738, 0.5965620933831499, 0.9470124835919865, 0.8746061245882583, 0.7369059138541767, 0.9666505429685759, 0.9345279631783235]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,2,2,0,[0.41746143 0.28541749 0.40249503],[0.51136939 0.13632173 0.42954125],[0.27196454 0.11098642 0.29022934],[0.06847955 0.13306361 0.00648415],25,-0.6294244280223805,0.5973902940750122,-0.08533720832864056,-0.6606426191240488,0.5451818704605103,-0.35803062263634655,"[0.6640089322854521, 0.5904215930732883, 0.41052979907739745, 0.8348526623976007, 0.8643207044950177, 0.34991644239269976, 0.37703287127631796, 0.8131425278059692, 0.7539006004547428]","[0.6359955458654889, 0.5572062053413032, 0.3837945748635981, 0.853966060533909, 0.8736405901367507, 0.3769133542339344, 0.38074978551403776, 0.7977858561668375, 0.7512842507106747]","[0.7221461245665297, 0.621170644522413, 0.43178422172946135, 0.8068258775073749, 0.8642084033973394, 0.35463134054345447, 0.4275551014942627, 0.8083350860167254, 0.7829015911694284]","[0.6814089862117858, 0.6419828747148815, 0.4458936521605515, 0.8007898190380961, 0.8282052856528945, 0.34191575271546526, 0.3622436155487156, 0.8272800885485994, 0.7316153636520386]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,3,2,0,[0.86341707 0.37600989 0.34341876],[0.81204836 0.33868444 0.40138272],[0.64100433 0.05018325 0.27142094],[0.68961541 0.22978054 0.00520079],16,-0.20590017168847238,0.4358392357826233,-0.10368834743800037,-0.028440957737692285,0.3875166177749634,0.027424807235704063,"[0.9659083409570328, 0.9673818801842602, 0.968982926815253, 0.9650603380696063, 0.9684291367488989, 0.9675408162485234, 0.9682164033187588, 0.9682303720224009, 0.968213755513036]","[0.9716427453795561, 0.9713656764818202, 0.9720836232647011, 0.9691208091762548, 0.9718235266578463, 0.9694948995368107, 0.9726797883964016, 0.970695085939312, 0.9712323034815215]","[0.9540798059447788, 0.9497742846908395, 0.9544390476206316, 0.9459888619714878, 0.9548792978263416, 0.9560795375845375, 0.9560591513160002, 0.9560264387112767, 0.950726971078782]","[0.952646718456137, 0.9619512313265499, 0.9655023946051793, 0.9611715141972575, 0.963416965983704, 0.9659915882607647, 0.9593108480370316, 0.9652814193103082, 0.9666251348265429]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,0,3,0,[0.47756483 0.69021488 0.76255126],[0.4965368  0.80643345 0.78351327],[0.27375869 0.62191689 0.59082006],[0.32123488 0.14152938 0.46269138],25,0.2827916185801813,0.12209118157625198,0.6132588111919393,0.4979406074048818,0.12067821621894836,0.7243744432863599,"[0.9902237979555504, 0.98674148224748, 0.9899659905856756, 0.989706729017416, 0.9899689890960393, 0.987019910029537, 0.9931199398187476, 0.988976303155158, 0.9884998809915349]","[0.9887325434833278, 0.9843836926750511, 0.9886187121309278, 0.9894648660851266, 0.9886204071814105, 0.9856957872166922, 0.9923094536207289, 0.9874194607874396, 0.9870653791644474]","[0.9905645195293828, 0.9918581054260689, 0.9915079115907977, 0.9864483789073951, 0.9882536074102102, 0.9877020900649369, 0.9930098527774529, 0.9927779311769551, 0.9892826038685079]","[0.9945515130892542, 0.9906627068254104, 0.9929256846790282, 0.9925194955257828, 0.995208281816353, 0.9905753380940976, 0.9955565781901525, 0.9912500102876398, 0.992331563094773]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,1,3,0,[0.4346311  0.74021998 0.26231033],[0.37967712 0.6951461  0.27344102],[0.2374889  0.36600223 0.11918678],[0.51884163 0.16389278 0.26984727],16,-0.30707215558741713,0.2501876950263977,0.19985763205359597,-0.28759930037715176,0.3010728359222412,0.1754308948004969,"[0.9221192953808948, 0.5593148044740262, 0.9412475632123427, 0.6017442214822654, 0.9390579805040008, 0.8973162164777027, 0.6958689031420151, 0.9492688498020252, 0.9432069572527997]","[0.9223776808543044, 0.5782585287251607, 0.9431109228742032, 0.6213821470626759, 0.9480479310545559, 0.8926078316650523, 0.696714146711917, 0.9569121395313926, 0.9601960314557735]","[0.9385155887863905, 0.4976027966346724, 0.9450726316346845, 0.5479601532186521, 0.9343525018217915, 0.9160288020857703, 0.7092112564681559, 0.9525662619656878, 0.9590833942966335]","[0.9080822379529289, 0.5331063788255385, 0.9310491895912827, 0.5714339579415254, 0.9118849824306121, 0.8983417003283389, 0.6709443446070031, 0.9217557727945873, 0.8777292736177627]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,2,3,0,[0.4255235  0.49295989 0.24931775],[0.6853768  0.51176407 0.58322045],[0.29606605 0.2158936  0.13963054],[0.08954309 0.08219004 0.02206648],25,-0.46390645820541065,0.5259705781936646,0.029888984478174785,-0.5009970310597752,0.534282922744751,-0.32267269895539163,"[0.5668957895834551, 0.6654428369099248, 0.37435941463530975, 0.4439347260161598, 0.3508168941138271, 0.4197147416614058, 0.4118426848404279, 0.4274779249715948, 0.50048861747172]","[0.6137603267520164, 0.7376949126168543, 0.3991101352326125, 0.455302123184038, 0.3738374199855597, 0.4124736173367599, 0.40452777411736285, 0.44040597258435404, 0.5176321580170555]","[0.599529101874402, 0.6487829297563182, 0.41541339925744536, 0.5070242310812515, 0.3765682527319585, 0.42350481126333367, 0.4499782376953945, 0.4412524187845748, 0.5297218492522155]","[0.4877821582282398, 0.5680885858502811, 0.3713843158115598, 0.42854481139110434, 0.34716761503990173, 0.417496059945582, 0.39135537757768046, 0.41045674130475246, 0.4855866080837189]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,3,3,0,[0.85333132 0.28609107 0.33898493],[0.85116146 0.30563022 0.60140489],[0.61429867 0.08720137 0.14270566],[0.52352173 0.2722054  0.04089234],25,-0.17653041776481215,0.4140264093875885,-0.007722797649238,-0.02462142255499411,0.3839319944381714,0.08123247546049672,"[0.966635241320962, 0.9669672466998799, 0.969016775565429, 0.9691266389575309, 0.9662697480783082, 0.9668625625536114, 0.9703056170437634, 0.9726664410518737, 0.9693730242797017]","[0.9719015241982054, 0.9713578196813776, 0.9720975287676523, 0.9743399337344665, 0.9715860328918777, 0.9719630867335824, 0.9747530807971088, 0.9749348202594482, 0.9743745379024786]","[0.9572667452634617, 0.9457393103628358, 0.9543939258792875, 0.9522205587332805, 0.949307481075198, 0.9445252570145488, 0.954958884798024, 0.9600944033334842, 0.9390200990868394]","[0.9540404039343727, 0.9630795390173246, 0.9656396895883241, 0.9614162029196482, 0.9572790361665926, 0.9618446465013553, 0.963505639385565, 0.9708974653501257, 0.9686213794699068]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,0,0,2,[0.34981505 0.50277453 0.7536628 ],[0.37527862 0.43679093 0.6876637 ],[0.19414783 0.52913686 0.7892775 ],[0.23889686 0.42819153 0.7320851 ],9,0.1788745852317645,0.12122589349746704,0.7445806987655268,0.32750603356831937,0.11854013800621033,0.7189016377734978,"[0.9879723610174208, 0.9914256243464652, 0.9902232774171713, 0.9867953435873402, 0.9918686486878026, 0.9868522461436512, 0.9902844953641562, 0.9895412409649453, 0.990078033940194]","[0.9882741325361295, 0.9925938164196515, 0.9914331625017925, 0.9880063110680954, 0.9917060824200574, 0.9879462943287137, 0.9912563570650086, 0.9907428200317037, 0.9914708219962463]","[0.9846258243424378, 0.9850981651319697, 0.9824130645067427, 0.9799320367416686, 0.9929787076781011, 0.9842830997800402, 0.9846047863565011, 0.9824275461002686, 0.9841585180924659]","[0.9891828877020387, 0.991569107261554, 0.9918306755013683, 0.9871011445870398, 0.9907786445962373, 0.9831624238825424, 0.9907000046589678, 0.9904792657952058, 0.9887841240906219]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,1,0,2,[0.47550097 0.66459062 0.26694108],[0.50207927 0.55755252 0.30197604],[0.26586274 0.36316315 0.11564294],[0.33270998 0.53040142 0.16220491],25,-0.14785552367245516,0.28054413199424744,0.295445868369307,-0.03716485242203512,0.22662398219108582,0.4303202856968039,"[0.487712514268733, 0.9095149296714518, 0.9191782284240322, 0.5562824698799105, 0.9262738305177591, 0.9186301594576811, 0.6109906026011787, 0.8831666359689255, 0.8888633488737789]","[0.48758837283091094, 0.9276146548107764, 0.9321454946874148, 0.5585613004810925, 0.9398206486809326, 0.9325385034238857, 0.6175026848147722, 0.9012007556310389, 0.9021057211000794]","[0.4567378738492525, 0.8453170521033002, 0.9141432581097737, 0.5353928502171261, 0.9338411121500212, 0.857479159141189, 0.5535566104957245, 0.8447599073966751, 0.8759629218121211]","[0.4902344995498719, 0.8793467207998793, 0.8727410391734693, 0.5477682315458066, 0.8745914928853891, 0.902283145848676, 0.6163804173930002, 0.8337275955335453, 0.8476904086492181]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,2,0,2,[0.58962522 0.4244307  0.26892227],[0.47521834 0.39467023 0.14567186],[0.53024009 0.2249783  0.34275438],[0.42138106 0.28310162 0.31666834],25,-0.4990543662462712,0.5171748399734497,0.05645863565058018,-0.4190026065919989,0.6088705062866211,-0.22255884427907358,"[0.6927431327015463, 0.6583981845620959, 0.6134749523407966, 0.6586036292241243, 0.6621126105679953, 0.4007863136548899, 0.49602131939497024, 0.6254544266798657, 0.6739586544316069]","[0.696653861493479, 0.6773453187497984, 0.6181899421474202, 0.6772219118152907, 0.6787027241712187, 0.405423472541627, 0.5172787117205324, 0.6578535720263391, 0.7119264707118226]","[0.6996564641286904, 0.6189208682476394, 0.657483387307984, 0.6061511975435729, 0.6155566485097552, 0.40434918434929895, 0.4807667191127507, 0.5599482699488184, 0.611456295333524]","[0.6797309403218881, 0.6348473187798676, 0.5770193447604177, 0.640131455004896, 0.6445861575173253, 0.3905932691181635, 0.4422380153442617, 0.5745221193269747, 0.6145608231804486]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,3,0,2,[0.83730748 0.37902097 0.53513333],[0.78265534 0.35268097 0.45884053],[0.82477698 0.12782072 0.45685674],[0.73924418 0.14847738 0.4397432 ],25,0.19569626558985198,0.358512818813324,0.1692892902351132,0.1760080232898192,0.3777286410331726,0.2157325769892371,"[0.9661986530768254, 0.9657850442513498, 0.9664080519876863, 0.9663111654900474, 0.9664319878828407, 0.9656765089723239, 0.9703236446628041, 0.9686455097895237, 0.9643329923835376]","[0.9616821694876445, 0.9611407162786, 0.9612864168084599, 0.9627025249037195, 0.9629739651161404, 0.9609517368074693, 0.966022115462392, 0.9653166469516787, 0.958948747279734]","[0.9820980739264604, 0.9868286491714389, 0.9836062434305426, 0.9830690853805608, 0.9800336247978438, 0.9835768643909115, 0.9872226056120643, 0.9840863964825464, 0.9834569582311643]","[0.9769056374825948, 0.9722495767010699, 0.979212436237213, 0.9708930279352043, 0.9725128676233878, 0.9750950049297931, 0.9783510224080827, 0.9715939842938248, 0.9767032156459404]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,0,4,0,[0.31556658 0.27308576 0.7457738 ],[0.29461909 0.21063974 0.77127205],[0.39438326 0.32490474 0.56317178],[0.19699646 0.2135631  0.43749222],25,0.33675380083790624,0.11687993258237839,0.655811567390761,0.47013459246455036,0.11255383491516113,0.7488996108452446,"[0.9867800910326132, 0.989047400029001, 0.9898893965372939, 0.9897172250584682, 0.9894077758588017, 0.9905755187434424, 0.9906055452456864, 0.9912151779527171, 0.9906517892652005]","[0.9864075624024243, 0.9881173004169367, 0.9899107308291599, 0.989453145774474, 0.9873826573427845, 0.9891707566669219, 0.989316775622276, 0.9907370376647947, 0.9893990807801534]","[0.9764337091849453, 0.9843718908573715, 0.9841781477983094, 0.9865736331193613, 0.9920530176584232, 0.99035520559638, 0.9897495259167264, 0.9870619408657166, 0.9873286672167778]","[0.9948009608532873, 0.9948536067412383, 0.9933589892754819, 0.9925262078447132, 0.9939374264580495, 0.99499438912611, 0.9951710101191555, 0.9952671838371512, 0.9966156295972604]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,1,4,0,[0.07529039 0.39795127 0.01670647],[0.04958793 0.32462433 0.01829457],[0.14031875 0.18906414 0.02560458],[0.29790561 0.40388249 0.04718369],16,-0.22633209909597993,0.2913789749145508,0.17368076603570148,-0.4230300088464772,0.2800102233886719,0.2603494133667469,"[0.6096993089450342, 0.9423236114566609, 0.5769747614788194, 0.5857652531895914, 0.5942088820240249, 0.5594982227014071, 0.43896875948597336, 0.5869805495865121, 0.5552165803258126]","[0.6127709572826223, 0.9462976449015079, 0.58326511630803, 0.6043308755063141, 0.6031395333473789, 0.5636961315637372, 0.4296776278805609, 0.5980925447024947, 0.5730349638123369]","[0.5732421214330172, 0.9353033402516554, 0.5296300792012045, 0.5311507530170515, 0.5354893477549652, 0.5506713507203024, 0.40895508775202616, 0.523458893319792, 0.491807740718523]","[0.6131125297738595, 0.9333606390158385, 0.5758389180310758, 0.5563411019909787, 0.5946466338829273, 0.5418829676776851, 0.4806887854846706, 0.5839485802581686, 0.5378366052769993]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,2,4,0,[0.294738   0.45698358 0.08122502],[0.20885731 0.34982694 0.03868092],[0.29318286 0.23019493 0.07572486],[0.22804549 0.38632079 0.09596842],25,-0.5402740037724147,0.5350900292396545,-0.0014402941353104382,-0.5362868237742727,0.5275442600250244,-0.2502468271731997,"[0.6665928519843378, 0.5420294286131737, 0.8373943886649948, 0.4464657033835, 0.8412124430648064, 0.3520134704541545, 0.40257418127320566, 0.7563789155461113, 0.7687885876911844]","[0.6354777917611704, 0.5186599252130331, 0.8580307718803486, 0.41263496189701776, 0.8571959194978118, 0.39555641454220924, 0.4138142746594672, 0.7521895999511842, 0.7640425028382094]","[0.7133200848763842, 0.5770121601421647, 0.8205591922919055, 0.47342396975634965, 0.8511098261284166, 0.36092806064795935, 0.4382935458032112, 0.7618151551671404, 0.7851231525787234]","[0.7023137349968096, 0.5825173058328558, 0.7956429431567537, 0.4938057276619401, 0.7848634957398877, 0.315982958675426, 0.3942980657545345, 0.7400129971746148, 0.7612514678453509]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,3,4,0,[0.83910708 0.21139234 0.45266184],[0.84279372 0.24882515 0.41067493],[0.58612038 0.00462747 0.23923573],[0.50014923 0.16789276 0.17498117],16,-0.16620740105144916,0.40064501762390137,0.011461820454243932,-0.12849334062882312,0.37170708179473877,0.07076561117184033,"[0.9665095762841076, 0.969234004557173, 0.9651290493008211, 0.9691897899592554, 0.9654161637865387, 0.9668660610704798, 0.9707802884522995, 0.9725073383591583, 0.9672470180044916]","[0.9706004410670226, 0.9726899935944344, 0.9691715143903747, 0.9743976836318938, 0.9692422672459107, 0.971424763315398, 0.9755610726357905, 0.9751189224270087, 0.9736422166817216]","[0.9527106428490394, 0.9597554135455586, 0.9461257809397818, 0.9522613373485698, 0.9437941813251389, 0.9423505662689617, 0.9532377216045596, 0.9687421490256629, 0.949197991300637]","[0.9595206935969371, 0.9617202160882891, 0.9612831384139455, 0.9614299507983746, 0.9631995857538904, 0.9645687405935601, 0.9646163298015019, 0.9655540760996009, 0.9558258240706328]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,0,1,2,[0.3531974  0.63625649 0.79017516],[0.39046433 0.48629484 0.72901926],[0.16592496 0.54521965 0.79304191],[0.21041479 0.81160894 0.72705739],25,0.22144292450064615,0.11766839027404785,0.7558322913054002,0.43092846991755235,0.1082717776298523,0.749107086029438,"[0.9879851180787528, 0.9880433529221764, 0.9867506499485456, 0.9890872203277401, 0.9887706982284509, 0.9908218491033534, 0.9878302180897625, 0.990254593272166, 0.9899014791903477]","[0.9883050329894059, 0.9894475699264282, 0.9884989123018166, 0.9904756214441546, 0.9895783484535756, 0.9932289207341922, 0.9885819907944269, 0.9918437819616802, 0.9917934362302363]","[0.9846380295324597, 0.9815179673484842, 0.9761946647378787, 0.9811318782827418, 0.9847218660119558, 0.9789620859606546, 0.9836061818837458, 0.9849889875912564, 0.9823217923878429]","[0.9891604883313352, 0.987294236217395, 0.9884054843500247, 0.9893790739071691, 0.9884011626362891, 0.9906940817152591, 0.9878687805797146, 0.9873583719206762, 0.9879368488070079]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,1,1,2,[0.45446146 0.68319722 0.25766204],[0.48160668 0.54906654 0.27900994],[0.20740181 0.35382711 0.09021217],[0.31418438 0.429471   0.16823492],25,-0.27738455173902343,0.2448708415031433,0.3385509626483789,-0.0879264176183453,0.24123528599739075,0.42445349586509296,"[0.6013088324453006, 0.5860995039808099, 0.5943404141846158, 0.9410348324902162, 0.5862131241992159, 0.5541341969879767, 0.48210173704896475, 0.6028740904438906, 0.5664518594237207]","[0.6047342189993634, 0.5804621803698033, 0.5815133550768938, 0.9394273798556569, 0.578058652305603, 0.5605503902604725, 0.4822105412356909, 0.59066478792828, 0.5515460076530272]","[0.5567977686318296, 0.49223323184224677, 0.5505285327450702, 0.9318958225697117, 0.5240078472138894, 0.42080364038832213, 0.4440305161055484, 0.5722889431271938, 0.5462092928529346]","[0.5978986711041931, 0.6394526775446583, 0.6451767746642505, 0.9504497574593438, 0.6295920747037665, 0.584491443894944, 0.5060935889787366, 0.6481090356142329, 0.6208894459909146]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,2,1,2,[0.37732847 0.40151317 0.23970603],[0.24102619 0.3511219  0.09783328],[0.49003658 0.21066689 0.34673097],[0.7913569  0.2413375  0.71837679],25,-0.4669281669846423,0.5093726515769958,0.04265722952135287,-0.38846662249167974,0.6063175201416016,-0.14853680301050587,"[0.7025805630336497, 0.6234331063363607, 0.722214622860768, 0.5713893245435544, 0.6041965630916463, 0.4769245502098442, 0.4323590530075915, 0.6959342452930661, 0.6547688651825986]","[0.7035331234751268, 0.6409622788610483, 0.706726920114599, 0.5812969488204294, 0.6239805832624387, 0.4867403229198274, 0.4464040219417255, 0.7136207213756551, 0.6624883408541834]","[0.7135556419365224, 0.5769561860853882, 0.8241008454282116, 0.5337374882166701, 0.5547322074746219, 0.46483151962862945, 0.4206249124340303, 0.639880088854424, 0.620480338730883]","[0.6929987705366321, 0.6124561878211776, 0.7340367460681708, 0.5795325821595032, 0.5834792092123651, 0.4571766887849117, 0.40410054787129857, 0.6772779323764624, 0.6575683057936824]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,3,1,2,[0.85424505 0.35231865 0.26695555],[0.81055555 0.32806287 0.12333906],[0.81783016 0.08997206 0.37114907],[0.72086285 0.12566518 0.69932785],25,0.15746492454733754,0.3875918388366699,0.07116281140809799,0.15253997631762764,0.40482062101364136,0.14908725241734722,"[0.9663232689168044, 0.9673973064708618, 0.9669902744711267, 0.969237257561379, 0.9670629609097496, 0.966821428776126, 0.9684182369679366, 0.9708490947198702, 0.9682679749167395]","[0.9618083842519817, 0.9625787248762867, 0.9614754089995724, 0.9654414061592755, 0.9626706915132994, 0.9620381930808661, 0.964015826912765, 0.9669531490750919, 0.9637360425371391]","[0.9823314709051838, 0.9842040073399931, 0.9864949465061252, 0.9857103878639246, 0.9840072324804241, 0.9850202859269988, 0.9844209680733189, 0.9872971460458178, 0.9859682576858924]","[0.9768859303682562, 0.9792253732734422, 0.9799864773097997, 0.9750800062860832, 0.9757828093485711, 0.9766033083053476, 0.9780737037228138, 0.9767410952622013, 0.9769650477490515]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,0,2,2,[0.07424286 0.68237428 0.80304801],[0.06636233 0.58707231 0.74275875],[0.03543588 0.56267857 0.79099346],[0.03046704 0.6657335  0.71753367],9,-0.00020624649490019742,0.15295159816741943,0.6545193566235707,0.2520598079050715,0.14207559823989868,0.6402319420352534,"[0.9914469471496502, 0.9880345968186179, 0.990009446830552, 0.9898976348116455, 0.9919145932927158, 0.9883691779944173, 0.9914002365583436, 0.9921749693395716, 0.9920286045371489]","[0.992624739156674, 0.9894127679014497, 0.9918928249659154, 0.991317453405413, 0.9931241153226674, 0.9896893169989593, 0.9929492475926911, 0.9920802245413721, 0.9936836988640361]","[0.9850726168355103, 0.981545046121234, 0.9787006704788959, 0.9834183593271574, 0.9836093574681395, 0.9826805342303873, 0.9828006843981092, 0.9901320630133125, 0.9831748209926885]","[0.9916152573969068, 0.9873128362483673, 0.9919972785452698, 0.9889669697288179, 0.9942270220438261, 0.9871657791150236, 0.9922845566211091, 0.9943342808835202, 0.992864287747798]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,1,2,2,[0.0619043  0.1364882  0.10927808],[0.05289121 0.13117423 0.15994383],[0.03156535 0.08542232 0.0200023 ],[0.0317584  0.02594598 0.00657472],25,0.17648539040084688,0.26019585132598877,0.39019831707236363,0.19564667456773066,0.2270052433013916,0.437662351449293,"[0.9092842604951591, 0.5525700369663701, 0.941326089025856, 0.5925307164616953, 0.9318430738816916, 0.8798097553054225, 0.7428185162587249, 0.9485629928432135, 0.9445798679868487]","[0.9261372065135349, 0.5460064273743597, 0.940706123798799, 0.5878253561334887, 0.9338683626150162, 0.894551261302551, 0.7345087490416591, 0.9512469650335775, 0.9436004856957357]","[0.8400209556824152, 0.4788798146450905, 0.8957143316023571, 0.519303855323134, 0.8688484763115835, 0.747505430200916, 0.7548013592050153, 0.88986434165202, 0.8848871235447893]","[0.8839592229941389, 0.6020103443319995, 0.9663202908013201, 0.6395078037481263, 0.9556337648411715, 0.8932664163686537, 0.760443990626182, 0.968823628216108, 0.9753597788154398]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,2,2,2,[0.55059121 0.07164796 0.46488053],[0.4025129  0.0537007  0.27384401],[0.42882044 0.06103702 0.34814684],[0.61612371 0.04610483 0.56395562],16,-0.5329986587420842,0.5574814081192017,-0.008647573918064921,-0.47718689923465485,0.6211129426956177,-0.16058121636213207,"[0.6640089322854521, 0.5904215930732883, 0.41052979907739745, 0.8348526623976007, 0.8643207044950177, 0.34991644239269976, 0.37703287127631796, 0.8131425278059692, 0.7539006004547428]","[0.6815858653324957, 0.6083603087586633, 0.425749427567013, 0.8254347567429744, 0.8602615325255422, 0.3438789376593529, 0.3857462454783649, 0.8249625602770023, 0.7634645501668545]","[0.626026703191031, 0.5336427351340645, 0.41721018508796537, 0.8642615717235453, 0.8775061947460018, 0.40215421216769115, 0.3944449250982133, 0.7913942266243932, 0.7448628076202575]","[0.6365190001201328, 0.5770390290153108, 0.3877029536936265, 0.843168585039717, 0.8635439719391049, 0.3768283536069354, 0.36361423202685683, 0.7812346433680523, 0.7291807621124946]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,3,2,2,[0.86345505 0.13216004 0.52362387],[0.82639421 0.15704515 0.3627339 ],[0.84558674 0.02771984 0.49161271],[0.7075913  0.03261778 0.59651305],25,0.16526798935853368,0.3788147568702698,0.09043011975868587,0.15231530504789415,0.3981907367706299,0.16344850368179942,"[0.9659083409570328, 0.9673818801842602, 0.968982926815253, 0.9650603380696063, 0.9684291367488989, 0.9675408162485234, 0.9682164033187588, 0.9682303720224009, 0.968213755513036]","[0.9612724155697145, 0.9625832161163987, 0.9644397300202193, 0.9610794045156288, 0.9640429223031917, 0.9630578397828208, 0.9639197091565811, 0.9645413971658462, 0.9643997341553906]","[0.9870843877324909, 0.9841205480396735, 0.9881394634921048, 0.9826208162247049, 0.9870010665081492, 0.9867584807002165, 0.9861599606655506, 0.9840426358940977, 0.983914202169756]","[0.972210017869606, 0.9791995545795226, 0.9761712936850585, 0.9710126781758874, 0.9754154420431593, 0.973994579286333, 0.9757900488681666, 0.97354965490249, 0.9744775357587423]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,0,5,0,[0.6594741  0.59685964 0.79034029],[0.6232821  0.74894354 0.80056486],[0.30831975 0.6003366  0.58947988],[0.45639546 0.0631164  0.53972439],16,0.2971716507137914,0.12577484548091888,0.6249952784945105,0.4568235593942276,0.12415441870689392,0.7262374256122365,"[0.9918640315789156, 0.9887690044228137, 0.9919150287412292, 0.9899707184014707, 0.9894227425914233, 0.9879685396620448, 0.9921327553795931, 0.9891781676169107, 0.9904915508574363]","[0.9918603183974157, 0.988780993726352, 0.9919302919915955, 0.9886203468353691, 0.9874304333870356, 0.9867604757065802, 0.9908410512201267, 0.9891251454702534, 0.9900269787683176]","[0.9834166885239772, 0.9821164885107179, 0.9876717734110616, 0.9882707016321721, 0.9919941837274301, 0.9862375676856671, 0.9908329230506735, 0.9833965526965782, 0.9872429529526892]","[0.9974904142927199, 0.9929746591467619, 0.9944302169127182, 0.9952094199728255, 0.9939063871699132, 0.9928202830113662, 0.9969892424116331, 0.9930483092098156, 0.9940444477432023]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,1,5,0,[0.40262439 0.59886537 0.23187922],[0.34624843 0.57374941 0.23761245],[0.15774442 0.36695858 0.0950373 ],[0.5160453  0.07302987 0.28455288],25,-0.26427658272333726,0.24239754676818848,0.22855402316415707,-0.2342068015621623,0.289875864982605,0.21432181257432192,"[0.9307299128023077, 0.5292455278644669, 0.9319256648879845, 0.9385987785163439, 0.594381519567025, 0.908992685306026, 0.6456133872790841, 0.9294092508311077, 0.9244397473024274]","[0.9258532743692682, 0.5404391108958277, 0.9273854448278072, 0.9476806649109453, 0.6045657718344293, 0.908039836679859, 0.6429478302905074, 0.9309110666801865, 0.9329289953727895]","[0.9279403789996861, 0.46475076815607624, 0.9259370869310916, 0.9341233163366274, 0.531282616408621, 0.9316782720048031, 0.6530448175278938, 0.9215246138562878, 0.9184008145946521]","[0.9445914483830923, 0.5278791355625208, 0.9479598744623239, 0.911105572838063, 0.5972136047027133, 0.897035105083789, 0.6382547433300059, 0.9259821557336179, 0.9010544927611428]"
