num_hidden_units,output_dimension,loader,logdir,temperature,algorithm,steps,offset_left,learning_rate,batch_size,max_iterations,time_offsets,offset_right
num_hidden_units,output_dimension,loader,logdir,temperature,algorithm,steps,offset_left,learning_rate,batch_size,max_iterations,time_offsets,offset_right,animal,seed,repeat,all,train,valid,test,knn,valid_total_r2,valid_position_error,valid_position_r2,test_total_r2,test_position_error,test_position_r2,all_run_consistency,train_run_consistency,valid_run_consistency,test_run_consistency
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,0,0,2,[0.93210246 0.97356788 0.97410132],[0.94715523 0.97937604 0.98311564],[0.65727756 0.76826736 0.89075551],[0.58797191 0.84051482 0.89858476],9,0.6124526007633286,0.06576418876647949,0.8668060816580607,0.5498974577662747,0.05601924657821655,0.8921486284032225,"[0.9581114532922806, 0.9590451143736732]","[0.993853072434096, 0.9938049796683545]","[0.8872117824472067, 0.9022170443135934]","[0.8832100192533247, 0.8758630152981937]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,1,0,2,[0.94622355 0.95876769 0.95048535],[0.94932123 0.97313432 0.95585545],[0.75912818 0.67110483 0.77438341],[0.75493482 0.72876714 0.80195935],16,0.3792138253808434,0.10719224810600281,0.700664879407888,0.4174111909415627,0.11772806942462921,0.6637021837368418,"[0.898401214642155, 0.8932774530474151]","[0.9502729773027556, 0.9502818691273692]","[0.8122588876818929, 0.7503837079816967]","[0.7761797453700291, 0.784034419617685]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,2,0,2,[0.95303293 0.90449627 0.96452514],[0.96329132 0.93923463 0.95946559],[0.72390925 0.54236632 0.81476122],[0.86759697 0.52583775 0.84352626],16,-0.21125183450749455,0.16631361842155457,0.22205953960169167,-0.16387913118995726,0.21096444129943848,0.07062986676747873,"[0.7452687472299052, 0.7072228464023306]","[0.8285507949041855, 0.8010701060262794]","[0.6177885581809538, 0.5642625417728423]","[0.5781658597334782, 0.5282067270179597]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,3,0,2,[0.95549679 0.92223446 0.94421691],[0.96664096 0.95171892 0.94626374],[0.84385901 0.64335755 0.75880064],[0.83400013 0.58612318 0.79199155],4,0.4769316854211731,0.10361658781766891,0.5532461918932845,0.42820958098312717,0.10300036519765854,0.6039732549609731,"[0.7279181774970515, 0.7325288918121338]","[0.7688626069210848, 0.7752637507773935]","[0.6285821283452114, 0.6188019075984078]","[0.628969690961355, 0.6373951904239762]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,0,0,0,[0.9682082  0.94244031 0.91211327],[0.98210737 0.9759864  0.9520778 ],[0.69046306 0.64846163 0.72094449],[0.73353448 0.57765175 0.59970924],16,0.865783307700315,0.054564476013183594,0.9490705690395856,0.7911918349713026,0.054892122745513916,0.9089738382955439,"[0.9718187919429186, 0.9754438938648584]","[0.9960744774923169, 0.9959490749519521]","[0.9201783339914344, 0.9536237349724065]","[0.9243972327747866, 0.9175624152797269]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,1,0,0,[0.97695836 0.93146999 0.88557108],[0.98806592 0.96885908 0.92591355],[0.72410348 0.52308931 0.54526661],[0.75775608 0.50258331 0.50678233],25,0.31849529897843126,0.12943637371063232,0.4815147561050108,0.2714291023367787,0.1626843810081482,0.3121765532941305,"[0.8845724198763839, 0.8967132432129133]","[0.9735018482648107, 0.9713532873234149]","[0.7600265993766206, 0.8041198687024597]","[0.7307802416453676, 0.7505827463428737]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,2,0,0,[0.93080967 0.91745613 0.79668685],[0.95200438 0.92673509 0.88684781],[0.74500835 0.54150676 0.58456108],[0.62889259 0.55811348 0.39053293],25,-0.28328344039977854,0.1689877063035965,0.0921899604584806,-0.465096191285225,0.27220311760902405,-0.13168347172218775,"[0.717363322386127, 0.7410563480227145]","[0.8838443695198929, 0.8876449830862455]","[0.5600526887077942, 0.5982627847665309]","[0.5183775328681953, 0.558418723088037]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,3,0,0,[0.93654958 0.92980075 0.86314617],[0.9498505  0.94726605 0.91235341],[0.81471025 0.61659583 0.56347242],[0.78067455 0.61509104 0.48956869],4,0.20175502792553768,0.12081104516983032,0.380786177153716,-0.2603496261905703,0.1648564338684082,0.08692375245811657,"[0.8550862603977523, 0.8503319875659819]","[0.9753075127240023, 0.9738749853787873]","[0.6677724941853075, 0.692381180404896]","[0.627154526068341, 0.6090177276369128]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,0,1,2,[0.89597809 0.97771325 0.88128949],[0.9215273  0.98200927 0.90164288],[0.61763762 0.83348969 0.6750615 ],[0.68673623 0.88530807 0.73437271],1,0.635049139296105,0.07167196273803711,0.8228004090162397,0.5631536329502466,0.06900110840797424,0.7995242744900141,"[0.959240712310244, 0.9629395466713463]","[0.9939357720031592, 0.9954783840777379]","[0.8930132087918606, 0.8926161974456424]","[0.8888239858462651, 0.9029607472783817]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,1,1,2,[0.95819381 0.95864987 0.82310469],[0.97240553 0.96817052 0.84455416],[0.6710646  0.63301531 0.57369284],[0.79221142 0.76345015 0.68195144],25,0.2699980586153683,0.11970293521881104,0.6558503854488925,0.41037918883216257,0.12078392505645752,0.6484628936074212,"[0.8931089199696173, 0.9094715293990254]","[0.9466140847186089, 0.9644254641163625]","[0.8033439596838702, 0.8067240573459676]","[0.7638931011783906, 0.7841629878917377]"
