num_hidden_units,output_dimension,logdir,temperature,algorithm,steps,offset_left,learning_rate,batch_size,max_iterations,time_offsets,offset_right
num_hidden_units,output_dimension,logdir,temperature,algorithm,steps,offset_left,learning_rate,batch_size,max_iterations,time_offsets,offset_right,animal,seed,repeat,all,train,valid,test,knn,valid_total_r2,valid_position_error,valid_position_r2,test_total_r2,test_position_error,test_position_r2,all_run_consistency,train_run_consistency,valid_run_consistency,test_run_consistency
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,0,2,1,[0.74716586 0.89962751 0.93103867],[0.79454658 0.88408551 0.90210574],[0.5184184  0.88420229 0.94005059],[0.68237178 0.86506738 0.95838936],16,0.834982451638143,0.05878855288028717,0.9493315005676585,0.8034521364245993,0.051487863063812256,0.9737092344437733,"[0.9956223239268972, 0.5424853028131954]","[0.995840495677236, 0.5584046754480383]","[0.9938752041508384, 0.5395505992449651]","[0.9971482766497002, 0.5062277526013541]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,1,2,1,[0.77406482 0.8747928  0.74966522],[0.81141302 0.86338046 0.77334923],[0.49492874 0.61492552 0.54442397],[0.66705701 0.77524762 0.6732241 ],25,-0.46764442110645993,0.14975476264953613,0.5322619728206965,-0.1267057057280041,0.1323016881942749,0.7337277579014048,"[0.6616989858640872, 0.6651644470927341]","[0.6566955283207611, 0.6593817368919486]","[0.711027216068877, 0.6587369588639255]","[0.6587254344939856, 0.6984288092935227]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,2,2,1,[0.76741233 0.76899484 0.75138685],[0.74812314 0.76807361 0.71865152],[0.8092526  0.56323029 0.80848288],[0.83814498 0.69620849 0.84580623],25,0.1630010154295661,0.13076719641685486,0.793636722287502,0.11921664063664987,0.17236486077308655,0.7017968169475813,"[0.8586760236350051, 0.8354561586723358]","[0.8580014164264633, 0.8317639267420502]","[0.8520776668681352, 0.8521815956271396]","[0.8455876063584001, 0.828779159149895]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,3,2,1,[0.93954006 0.73779079 0.85524952],[0.91216475 0.75660906 0.8237355 ],[0.93500788 0.52968782 0.86926029],[0.96098454 0.66855052 0.86075556],25,0.5403265248343022,0.09637877345085144,0.9087266402920494,0.6032119902411918,0.07607443630695343,0.9105918329287145,"[0.9297497346675314, 0.9178512179331353]","[0.9107636493216154, 0.8939411542532053]","[0.9625482947319871, 0.9649427394661568]","[0.9472404152694774, 0.9405452911819682]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,0,1,0,[0.74626485 0.82155304 0.94524916],[0.6907035  0.86813779 0.94649233],[0.55509475 0.68449106 0.89444214],[0.71768233 0.71285064 0.89671907],25,0.8908724919065426,0.05774343013763428,0.9552501376327956,0.8823915698540884,0.0469931960105896,0.9710043466910194,"[0.994769891807259, 0.9960875647786985]","[0.9949578849923727, 0.9965311004775024]","[0.9939141469725293, 0.9976331281331002]","[0.9952953143558355, 0.994030042162854]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,1,1,0,[0.77438799 0.77654801 0.74670852],[0.73522267 0.75934668 0.72387057],[0.60654002 0.53575147 0.59633047],[0.75371652 0.59143318 0.63907472],25,-0.38001994952493456,0.20233820378780365,0.37210707334094595,-0.10845403445351061,0.18220192193984985,0.470293535548,"[0.6357129151800464, 0.42931961375969346]","[0.6199499985339365, 0.4775666513096457]","[0.6493376888199033, 0.341557424284012]","[0.6723550586728381, 0.3746273849308081]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,2,1,0,[0.82987998 0.78067759 0.80602921],[0.89747797 0.75197698 0.88874493],[0.75594937 0.54956738 0.77120555],[0.69920211 0.61374117 0.58550545],25,0.2208801595567098,0.22577553987503052,0.6080581514682866,0.03963507751038694,0.28578945994377136,0.3016339376914623,"[0.698211391457355, 0.8685593621246667]","[0.7048040797447941, 0.8610253271551235]","[0.6841604271458194, 0.866108908836618]","[0.6560011287237586, 0.8421380121583555]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,3,1,0,[0.97376691 0.7702282  0.8477854 ],[0.98411581 0.75758851 0.90056036],[0.94694241 0.58840193 0.76149145],[0.93169253 0.6762295  0.69992341],16,0.5575001969019081,0.07801896333694458,0.5916862894947896,0.03602958451575481,0.12883353233337402,0.46787263301189586,"[0.9153990272196187, 0.8451929818679096]","[0.9426140572853873, 0.9105445553511217]","[0.8704742606600662, 0.7358312149667136]","[0.9428348089410914, 0.9053400039145746]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,0,2,2,[0.87461572 0.7153924  0.89178931],[0.82667959 0.65403409 0.88101266],[0.76841735 0.68754304 0.83439304],[0.78097165 0.75191448 0.89959049],25,0.8324550443571366,0.06509214639663696,0.967836971145297,0.8369151013425274,0.04309758171439171,0.9741203827511292,"[0.9969057142448579, 0.5151662654029328]","[0.9969222033694365, 0.4941609968088207]","[0.9970950182717098, 0.6729687571105174]","[0.9972136905659035, 0.5675473538523986]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,1,2,2,[0.90845578 0.74661895 0.87190134],[0.89197935 0.65732971 0.84665618],[0.83021809 0.79661764 0.82697126],[0.85759317 0.72619818 0.88640999],25,0.27217232557695253,0.09849166870117188,0.8558903704132977,0.5391782014356282,0.10182440280914307,0.9001554586383822,"[0.4530240880315138, 0.4588340487087768]","[0.38757190177749096, 0.3937736010807913]","[0.8239898024660439, 0.8821990164779429]","[0.6280261679823693, 0.652318537321848]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,2,2,2,[0.76345736 0.79269999 0.77159301],[0.71928934 0.7008128  0.71706063],[0.75598681 0.76320292 0.79965727],[0.81460612 0.74099138 0.79807442],25,-0.30019926333102936,0.16264589130878448,0.6023664717488921,0.021395272391822557,0.1835033893585205,0.5868847785031415,"[0.7418627089730409, 0.8570007898702624]","[0.7213457703983059, 0.8555822537752343]","[0.765990302046073, 0.8167421960596633]","[0.7770928853633668, 0.8464316447244981]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,3,2,2,[0.95112899 0.89802773 0.71423649],[0.94199981 0.83774331 0.64928808],[0.9426169  0.81285998 0.77809678],[0.94837982 0.84478237 0.76379711],25,0.6916745395034853,0.060470689088106155,0.7791442571861715,0.7998886639075403,0.05764380097389221,0.9597296163408479,"[0.6538991889801037, 0.678224419324383]","[0.6314580040357142, 0.6452270597290919]","[0.7497760090238946, 0.7941033242074043]","[0.7918339821646067, 0.8228195044888104]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,0,2,0,[0.94187884 0.86592714 0.91877995],[0.91779781 0.90721229 0.94784316],[0.81277693 0.73558166 0.85207762],[0.89260521 0.66210908 0.79217919],25,0.8743295149002631,0.05687491595745087,0.9558670131803583,0.8954725760454219,0.04071875661611557,0.9713878088092408,"[0.9942105496090253, 0.9959877903311343]","[0.994846326619751, 0.9965630047790704]","[0.9919139186976106, 0.9976612304229749]","[0.9943549778153575, 0.9935511625460577]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,1,2,0,[0.91836875 0.87711516 0.84165249],[0.8971402  0.88537296 0.88737   ],[0.81113205 0.68074525 0.77849389],[0.89024399 0.67211126 0.69127104],25,0.3565715990880614,0.11800378561019897,0.5804066829428574,0.34518580712641916,0.1300344318151474,0.6304759311132121,"[0.4717687729630536, 0.3912108590421209]","[0.5292095615893373, 0.44142411037435214]","[0.3647705442726852, 0.28958921858009196]","[0.40640945423508334, 0.34464744493340005]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,2,2,0,[0.81519984 0.86942377 0.66012799],[0.88521982 0.888744   0.78929209],[0.72795191 0.68638897 0.65759714],[0.64712354 0.66618097 0.54893637],25,0.124474761248159,0.27275919914245605,0.483006770245217,0.025369271631478323,0.3053804337978363,0.2773446775943923,"[0.605613939041196, 0.8399406546498934]","[0.5838080270323726, 0.8252215993824179]","[0.6178373902317321, 0.849420297008912]","[0.5716683652249634, 0.7893024999982354]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,3,2,0,[0.95478309 0.92789793 0.82977775],[0.96930441 0.94095228 0.89310187],[0.92717289 0.84042585 0.74376004],[0.88686024 0.7781496  0.57191945],25,0.4893702717083455,0.07456842064857483,0.677979170782995,0.42665827705268544,0.10974094271659851,0.6798466240583785,"[0.9424412739644329, 0.6953089394756483]","[0.9563478098415654, 0.7171887984037717]","[0.8653519651191384, 0.5890973217956703]","[0.9414415566093263, 0.7543376272314329]"
