,batch_size,conditional,delta,device,learning_rate,loss_distance,model,num_hidden_units,num_output,num_steps,save_frequency,share_model,temperature,time_offset,tqdm,train_ratio,valid_frequency,valid_ratio,variant,steps,data_mode,repeat,valid_accuracy,test_accuracy,train_consistency_raw,train_consistency,valid_consistency_raw,valid_consistency,test_consistency_raw,test_consistency,valid_accuracy_raw,test_accuracy_raw
886,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,128,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,2200,multi-session,4.0,65.1178451178451,66.21773288439955,"[0.99774967 0.99782875 0.99812302 0.9977359  0.99784768 0.99811868
 0.99782376 0.99785469 0.99827032 0.99812512 0.99812923 0.99827643]",0.997990272008155,"[0.32375473 0.42064826 0.53831046 0.3140958  0.27209347 0.33876034
 0.44333845 0.28264599 0.45577537 0.54871042 0.35104853 0.45293255]",0.3951761971376423,"[0.36578047 0.43192856 0.59150653 0.36182298 0.28164547 0.36604859
 0.4424143  0.2952206  0.45766607 0.59377138 0.37971427 0.45641737]",0.41866138354382737,[68.79910213 44.84848485 68.32772166 78.49607183],[72.92929293 50.3030303  66.21773288 75.42087542]
887,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,128,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,2200,single-session,4.0,67.32323232323233,66.7003367003367,"[0.9629218  0.94628248 0.96257252 0.92387409 0.91933668 0.91878151
 0.94981718 0.96571435 0.956138   0.97544123 0.97615311 0.96513252]",0.9518471225186971,"[0.35738197 0.43701184 0.55550158 0.32975863 0.29424095 0.34954064
 0.46241374 0.33769163 0.48184316 0.57761342 0.39743538 0.48362548]",0.4220048688373591,"[0.38658523 0.43242577 0.57391742 0.36635027 0.29325471 0.36285769
 0.46041202 0.33920081 0.48359556 0.59059451 0.40876143 0.47182404]",0.4308149559131563,[73.51290685 46.64421998 68.01346801 81.12233446],[73.8047138  50.66217733 66.17283951 76.16161616]
888,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,128,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,2250,multi-session,4.0,65.05611672278339,65.44893378226712,"[0.99778723 0.99787665 0.99819583 0.9977792  0.99787876 0.99817807
 0.99787395 0.99788346 0.99827277 0.99820611 0.99819208 0.99828318]",0.9980339397135399,"[0.32270573 0.41882026 0.53630457 0.31477758 0.27264888 0.33733498
 0.44296871 0.28122483 0.45310357 0.54798136 0.34902385 0.45164976]",0.3940453415442068,"[0.3639793  0.42849705 0.58956548 0.36171379 0.2824848  0.36597686
 0.44170382 0.29511722 0.4573657  0.59559547 0.38025095 0.45693957]",0.41826583343547236,[68.70931538 44.51178451 68.08080808 78.92255892],[72.61503928 49.33782267 64.71380471 75.12906846]
889,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,128,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,2250,single-session,4.0,67.40179573512906,67.30078563411897,"[0.96359502 0.94669976 0.96380497 0.92304388 0.91993944 0.91960091
 0.95015154 0.96631738 0.95676656 0.9755514  0.9769806  0.96560489]",0.952338028090827,"[0.35710128 0.43734159 0.55734456 0.33170011 0.29542549 0.35035222
 0.46358105 0.338249   0.48270912 0.58160394 0.39690116 0.48370958]",0.42300159276965915,"[0.38823701 0.43411554 0.57687936 0.36783967 0.29462818 0.3635959
 0.46559284 0.34020773 0.48571119 0.59338106 0.40930414 0.47148697]",0.4325816316682671,[73.78226712 46.5993266  67.85634119 81.36924804],[74.47811448 50.97643098 66.15039282 77.59820426]
890,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,128,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,2300,multi-session,4.0,65.29180695847361,66.31874298540966,"[0.99783364 0.99796102 0.99822245 0.99782537 0.99791748 0.99818892
 0.997956   0.99791968 0.99830048 0.99822822 0.99820083 0.9983073 ]",0.9980717823666776,"[0.32285888 0.41724394 0.53565696 0.31413966 0.27172345 0.33847779
 0.44154254 0.28112097 0.45402975 0.54646182 0.34979086 0.45235706]",0.393783639597492,"[0.36375782 0.43051098 0.5881603  0.36171906 0.28331419 0.36570608
 0.44247455 0.29397998 0.45789874 0.59386614 0.3805573  0.45890357]",0.41840405945318826,[68.88888889 44.80359147 68.41750842 79.05723906],[73.55780022 49.78675645 66.06060606 75.8698092 ]
891,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,128,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,2300,single-session,4.0,67.665544332211,66.96969696969697,"[0.96431931 0.94824796 0.96360864 0.92386523 0.92123709 0.91945654
 0.95139592 0.96624528 0.95669653 0.97553224 0.97705794 0.96610832]",0.9528142510156558,"[0.35667245 0.44047141 0.55594564 0.32999429 0.29672805 0.34800166
 0.46089289 0.33617968 0.47855643 0.57724339 0.3949459  0.48376769]",0.4216166237632047,"[0.38557463 0.43650971 0.57344873 0.36767213 0.29610829 0.36397943
 0.4655077  0.34016155 0.48565979 0.5878731  0.40996489 0.4755379 ]",0.43233315366018,[74.29854097 46.89113356 68.19304153 81.27946128],[74.32098765 51.24579125 66.46464646 75.84736251]
892,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,128,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,2350,multi-session,4.0,65.31986531986533,66.08866442199776,"[0.99782186 0.99799832 0.99823389 0.99781625 0.99799952 0.99824588
 0.99799138 0.99800049 0.99840568 0.99824021 0.99825866 0.99841123]",0.99811861361349,"[0.32325085 0.4179915  0.53526202 0.3162453  0.2727944  0.33930526
 0.44266663 0.28106422 0.45550959 0.54595005 0.35009575 0.45380983]",0.39449545096090033,"[0.36240561 0.42945358 0.58902189 0.36002073 0.28409735 0.36534387
 0.44312765 0.29482933 0.45902662 0.59346601 0.37914622 0.45958662]",0.41829378993692207,[69.18069585 44.96071829 68.01346801 79.12457912],[72.34567901 50.46015713 66.01571268 75.53310887]
893,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,128,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,2350,single-session,4.0,67.46352413019079,67.06509539842872,"[0.96395753 0.94949903 0.96331114 0.92423493 0.92160015 0.91785352
 0.95308159 0.96571603 0.9568845  0.97586428 0.97671082 0.96704882]",0.9529801955904815,"[0.35679571 0.43839642 0.55232544 0.33374341 0.29818897 0.34953083
 0.46046308 0.33700591 0.47893601 0.57894357 0.39722089 0.485416  ]",0.4222471863626012,"[0.38418619 0.43586673 0.57479061 0.36710377 0.29445677 0.36537553
 0.46471215 0.34005674 0.48586222 0.58728421 0.40868078 0.4735107 ]",0.4318238678585418,[73.75982043 47.02581369 68.01346801 81.05499439],[74.07407407 50.75196409 67.13804714 76.2962963 ]
894,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,128,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,2400,multi-session,4.0,65.47138047138047,66.64983164983165,"[0.99789914 0.99800491 0.99829071 0.99788752 0.99800396 0.99829361
 0.99800478 0.99800771 0.99837555 0.99829365 0.99830613 0.99838227]",0.9981458281846605,"[0.32521798 0.41720276 0.53589681 0.31735394 0.27393204 0.34066237
 0.44135422 0.28385575 0.45582144 0.54447957 0.35305187 0.45440678]",0.39526962761210077,"[0.3628884  0.42917868 0.58831768 0.36207803 0.28458108 0.36504802
 0.44429549 0.29465115 0.45825109 0.59498012 0.37905349 0.45963759]",0.41858006893174055,[69.2704826  44.69135802 68.59708193 79.32659933],[73.26599327 50.7295174  66.53198653 76.07182941]
895,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,128,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,2400,single-session,4.0,67.41863075196409,66.69472502805836,"[0.96518838 0.95103301 0.96219059 0.92649281 0.92413879 0.91931812
 0.95346101 0.96641215 0.95683299 0.97569233 0.97729782 0.96704589]",0.9537586577764872,"[0.35626177 0.43936793 0.55547237 0.3323078  0.29913208 0.34755525
 0.46399389 0.3385275  0.47772343 0.58083838 0.3953361  0.48441662]",0.42257775945300846,"[0.38574328 0.43711092 0.57371949 0.36724838 0.29607763 0.3640927
 0.46641799 0.34235212 0.48604743 0.59051248 0.41096972 0.4750018 ]",0.43294116150625256,[73.53535354 46.64421998 68.19304153 81.30190797],[74.38832772 49.38271605 66.68911336 76.31874299]
